,Class,Distance,Name,ID
223,6,0.0020395959310806453,['University of California-Irvine'],110653
224,6,0.0020789824616036356,['The University of Alabama'],100751
225,6,0.0020892833889174347,['Indiana University-Bloomington'],151351
226,6,0.002158884378607815,['University of California-San Diego'],110680
227,6,0.0022177365031259876,['University of California-Davis'],110644
228,6,0.0023277369906586323,['University of Michigan-Ann Arbor'],170976
229,6,0.002396616962466151,['University of California-Berkeley'],110635
230,6,0.002400576584652266,['University of California-Los Angeles'],110662
231,6,0.0024520532820993695,['Arizona State University-Tempe'],104151
232,7,0.0076936460969791245,['University of Mary Washington'],232681
233,7,0.020425455602394386,['Dickinson State University'],200059
234,8,0.020144758824630862,['California Maritime Academy'],111188
235,9,0.00117331616741948,['Shippensburg University of Pennsylvania'],216010
236,9,0.0012132816214094268,['Oregon Institute of Technology'],209506
237,9,0.0012367432914495058,['Montana Tech of the University of Montana'],180416
238,9,0.0013612239835343915,['Georgia Southwestern State University'],139764
239,9,0.0016016906133222515,['Purdue University-North Central Campus'],152266
240,9,0.0017778330710625572,['Worcester State University'],168430
