"g","delta","phi","Tui","R","ID"
678.506537387839,-0.00664963913203858,8409,185681,0.017883708,48
1132.51763659755,-0.00252462567913381,4228,149706,0.093684561,49
212.315111235298,0.0815998430899005,5086,159380,-0.002409541,50
25.0294517303739,-0.00275160371099014,6379,211822,0.056972006,51
-223.987920107744,0.00134321939137501,4480,162343,-0.166178576,52
789.797963518609,-0.00116624553540733,9513,199132,0.090134802,53
666.938284044088,-0.00117511398486735,8667,196153,0.098186371,54
1070.82876811484,0.00309431763448298,9292,150952,-0.034779706,55
565.394169101811,-0.00195970418907014,7972,196305,0.064009169,56
425.558596511272,0.00180555679922609,8257,207859,-0.067075908,57
792.222795717379,0.000849178604142085,11600,241794,-0.10151798,58
1058.79721201587,0.0019683029112326,14197,186517,-0.035785862,59
1558.46746872268,0.000687315207196011,22619,152618,-0.064323645,60
797.931873178953,0.00490800791637557,11482,229912,-0.017745049,61
1138.39255462489,-0.00137698286274705,12984,194659,0.055932336,62
924.245680509348,0.000376839404819769,9914,191826,-0.267666966,63
488.067091222749,0.0265689439299517,6245,173810,-0.00602689,64
858.580385060742,0.00229189884636295,6569,136963,-0.066420982,65
319.185175001347,0.000778191865396188,7844,234901,-0.163823322,66
148.834981645696,-0.0107772042027488,5533,184269,0.016770006,67
299.531155001129,0.00390500657043153,7676,227912,-0.033361323,68
1158.01019912158,0.000145212809155937,14397,212625,-0.478324987,69
657.62705178379,-0.117405968292017,6480,162915,0.001314422,70
450.079712675159,0.00157540337166428,8183,228007,-0.077570337,71
1226.38007338976,0.00192084935692741,11924,168975,-0.0436601,72
1618.52472541391,0.00175674345045851,24961,150576,-0.022804979,73
681.386265469889,0.00212829276515807,8899,218405,-0.05279921,74
-11.2137811653417,0.00548100298907281,2892,113525,-0.063087261,75
523.402591969543,0.00361400605382929,6193,175891,-0.044679679,76
806.631693438432,-0.00227094450839087,8316,188115,0.052951589,77
727.700676206045,-0.00353077506351924,6643,162353,0.042634944,78
751.093489865059,0.000621357013883031,10151,241274,-0.158544057,79
203.204877267353,0.00790669971154003,6405,224689,-0.019746295,80
179.158326225934,0.00440263389338656,5796,205249,-0.039188537,81
616.537710868071,-0.0158040655056922,8636,227766,0.007326871,82
