"g","delta","phi","Tui","R","ID"
-511.631204172401,-0.00433882992070368,9947,198497,0.023170492,124
-367.529207289864,0.00043056586433375,12867,233427,-0.180502451,125
-125.285642080186,0.00310683091903417,16212,240405,-0.019853898,126
-531.119131080368,0.00620762288178889,8935,172780,-0.018029352,127
226.62815169369,-0.00292158448080618,18125,197976,0.018884415,128
-529.306699239535,-0.00204428000383893,7669,159108,0.063785341,129
40.7697633054354,-0.00127729662698151,12033,147610,0.065063035,130
-281.494311288518,0.00151370944475843,10950,174657,-0.060331394,131
454.179807753379,0.000156462125363057,21375,153858,-0.299009269,132
73.5864564704308,-0.00551161413904808,13591,161177,0.013349647,133
-1075.01887837909,0.000962319499371969,8401,225900,-0.123694312,134
-833.335220070959,0.0218831294543707,7065,184567,-0.006468125,135
289.737438121471,0.00174125662002917,17063,150795,-0.033657498,136
-574.2316583374,0.00321728166027122,7287,144459,-0.042654234,137
-750.642041990484,0.00108072090451913,7838,174102,-0.118054131,138
-213.294771339182,-0.00272514285541167,9586,162275,0.038280121,139
161.757546204597,0.000880002451659374,14210,170191,-0.079969069,140
109.329260863384,0.00179431325069683,11133,142671,-0.050059848,141
-326.395934196081,0.000892033397107905,9286,172025,-0.120723052,142
-398.974227743946,0.00129817769809828,10565,216647,-0.072911554,143
272.796605674107,-0.00121422922775661,20250,220612,0.040670011,144
-481.700925598916,-0.00205564583595858,8697,193360,0.055934819,145
-621.023472514082,-0.00261285277524887,7406,181591,0.051677483,146
101.706018764905,0.000347945065982514,11956,139451,-0.240382812,147
48.1488132896347,0.0012154725959342,9681,134787,-0.084983499,148
-154.198954887991,0.00126345424200853,11718,207240,-0.067544033,149
114.113012819765,0.0019683029112326,14197,186517,-0.035785862,150
175.372920247744,-0.000728945130263536,15152,193082,0.090538897,151
38.8133945765178,0.0006756450962329,15247,228065,-0.097072669,152
-436.936259836961,0.000355739093883442,6316,134309,-0.445067912,153
265.934245341602,0.0023011645659699,16530,189729,-0.026289327,154
-339.010860200083,0.000443674408792759,11416,241572,-0.197433871,155
-105.883266078856,0.0012278596361218,12010,209906,-0.067812268,156
-854.154166896471,0.000568987890470678,7997,238793,-0.219770745,157
-333.974148602578,0.00134832592496328,10673,231523,-0.069489407,158
-134.143872249296,0.00123869669973743,10843,188761,-0.074453576,159
-376.091669566806,-0.00251310925484789,8312,183546,0.047872168,160
-472.807382620102,0.00294449728092635,5653,134525,-0.060077224,161
235.222019650387,0.000463166649166299,11690,145280,-0.184692053,162
-519.125602684831,0.00180555679922609,8257,207859,-0.067075908,163
-3.13688871140107,0.00209888957063324,14328,242676,-0.033252541,164
-1464.42929089325,0.00498665742082523,2587,102138,-0.077516479,165
-563.981891356782,-0.00811854414979728,6867,183104,0.017937206,166
-614.03555017565,0.00151689270986706,8015,223482,-0.08225108,167
-146.75232601715,0.00490800791637557,11482,229912,-0.017745049,168
-919.654747465729,-0.00275160371099014,6379,211822,0.056972006,169
-798.223020428186,0.00157154903355364,7182,225643,-0.08859856,170
-266.177661808264,-0.00664963913203858,8409,185681,0.017883708,171
-944.684199196103,0.00209521762672785,3265,105629,-0.146179905,172
-277.745915152015,-0.00117511398486735,8667,196153,0.098186371,173
-1497.35838904296,-0.0120581046946929,3933,169868,0.021086136,174
-379.290030094292,-0.00195970418907014,7972,196305,0.064009169,175
-645.153044194974,0.00390500657043153,7676,227912,-0.033361323,176
-154.886235677494,-0.00116624553540733,9513,199132,0.090134802,177
-625.499024194756,0.000778191865396188,7844,234901,-0.163823322,178
-795.849217550407,-0.0107772042027488,5533,184269,0.016770006,179
193.708355428791,-0.00137698286274705,12984,194659,0.055932336,180
-494.604486520944,0.00157540337166428,8183,228007,-0.077570337,181
126.14456891874,0.00309431763448298,9292,150952,-0.034779706,182
177.452683802166,-0.00125820950897345,12297,184219,0.06463204,183
213.325999925481,0.000145212809155937,14397,212625,-0.478324987,184
29.3752745766051,-0.00187602828565043,9144,163158,0.058294073,185
-20.4385186867546,0.000376839404819769,9914,191826,-0.267666966,186
-456.617107973354,0.0265689439299517,6245,173810,-0.00602689,187
-121.133706407158,0.00173850506642807,15244,229325,-0.037733327,188
-273.176740289045,0.00158723356663384,14596,236385,-0.04316436,189
73.8060842398072,0.000587975376417751,18408,238551,-0.092391976,190
-133.36559578194,0.00130394612623879,13602,207846,-0.056381624,191
-71.2299750368336,-0.00343234648472428,14744,218908,0.019760301,192
19.6316857598624,0.000284031363124458,16191,219373,-0.217450309,193
371.110193613434,-0.000714185322593505,20816,188717,0.067265411,194
-80.9639237901388,-0.00168329281441387,12514,169767,0.047472727,195
220.132788203211,-0.00019921058389434,33850,370493,0.148295823,196
-1063.25780177677,0.00249940584211801,7540,179613,-0.053063009,197
