"","Name","Class","g","delta"
"53","Northwest Missouri State University",3,-874.436575862152,-1.07621456149371e-08
"54","North Dakota State University-Main Campus",3,997.650628835778,NA
"55","Indiana University-Purdue University-Fort Wayne",3,823.807910601799,NA
"56","New Mexico State University-Main Campus",3,445.223759521864,NA
"57","Appalachian State University",3,484.233591948739,NA
"58","Saint Cloud State University",3,1172.60142042556,NA
"59","Northern Kentucky University",3,241.426412197067,NA
"60","The Richard Stockton College of New Jersey",3,-49.9986482818713,-3.43163090765572e-09
"61","University of Wisconsin-Whitewater",3,685.072756044431,NA
"62","Eastern Washington University",3,87.4200750288624,NA
"63","University of Nevada-Reno",3,611.958226844037,NA
"64","Indiana State University",3,-37.2134718716175,NA
"65","Arkansas State University-Main Campus",3,184.723816263551,-4.73146215368181e-09
"66","University of North Carolina at Greensboro",3,560.07270034636,NA
"67","University of Arkansas-Fort Smith",3,-410.213630840123,4.25537699289272e-09
"68","University of Colorado Denver",3,1028.10343555113,NA
"69","Michigan Technological University",3,-2915.38602922033,-3.34716232690303e-08
"70","California State University-Monterey Bay",3,-1235.92835809896,NA
"71","University of Michigan-Flint",3,219.871378160685,-3.56650746833792e-09
"72","University of Colorado Colorado Springs",3,926.489336197518,-5.55567718706329e-09
"73","West Texas A & M University",3,222.171386150073,NA
"74","Marshall University",3,48.4642061329805,NA
"75","University of Southern Maine",3,515.250589552083,-8.58065449721424e-09
"76","University of New Orleans",3,540.694858664879,4.73450847375439e-08
"77","Valdosta State University",3,910.848092312248,NA
"78","University of Alabama in Huntsville",3,-36.5322970353782,-1.05819625292379e-07
"79","South Dakota State University",3,996.560028869575,NA
"80","Colorado State University-Pueblo",3,840.589696682857,-6.87560602583675e-09
"81","The University of Montana",3,-46.641610079143,NA
"82","University of Idaho",3,-633.41904550042,-5.94937945542954e-09
"83","Metropolitan State University of Denver",3,905.316495246555,NA
"84","University of South Alabama",3,-24.789283739281,2.88919375380204e-08
"85","California State University-San Marcos",3,-1307.09283808834,NA
"86","East Tennessee State University",3,-139.703211651909,NA
"87","Georgia Southern University",3,589.175346374066,NA
"88","Montana State University",3,-114.689541620917,NA
"89","University of Massachusetts-Lowell",3,299.803245844277,NA
"90","Stephen F Austin State University",3,-746.717556174018,NA
"91","Boise State University",3,882.566321847263,NA
"92","University of Illinois at Chicago",3,942.183139106583,NA
"93","California Polytechnic State University-San Luis Obispo",3,141.360002677059,NA
"94","Sam Houston State University",3,239.733899115875,NA
"95","Old Dominion University",3,770.426604230586,NA
"96","University of South Florida-St Petersburg",4,25.396074821565,NA
"97","Shippensburg University of Pennsylvania",4,765.842992927682,-3.79844321660025e-09
"98","Emporia State University",4,603.307820249667,-6.10886350098467e-09
"99","Lander University",4,-1330.04493686605,-1.43591946729569e-08
"100","Indiana University-Southeast",4,659.876304462978,-5.09816273726911e-08
"101","Minnesota State University-Moorhead",4,611.69532113888,-3.66380624904056e-09
"102","Mississippi University for Women",4,-1559.35487356787,1.04996792413219e-08
"103","Indiana University-Northwest",4,553.95619760129,-9.63593902388125e-08
"104","The University of Texas of the Permian Basin",4,335.241909061746,6.7216327342436e-09
"105","Fairmont State University",4,-551.483475597206,-6.63002257868995e-09
"106","Southern Polytechnic State University",4,452.433303387579,1.13564969883327e-08
"107","University of Montevallo",4,-1681.93879244716,-1.84509564410118e-08
"108","East Stroudsburg University of Pennsylvania",4,404.317744643878,-4.35933774814329e-09
"109","Southern Arkansas University Main Campus",4,-1331.43945880835,1.78862504420732e-08
"110","Rhode Island College",4,719.592481496911,NA
"111","The University of Virginia's College at Wise",4,-1838.92473657868,3.04194733721462e-08
"112","Indiana University-South Bend",4,634.122418105753,-6.66867340613734e-09
"113","Kutztown University of Pennsylvania",4,690.379131376894,NA
"114","Frostburg State University",4,-255.083016396661,-1.02816363448709e-08
"115","Salisbury University",4,530.662975953044,-4.42271735035763e-09
"116","Eastern Connecticut State University",4,-352.845856653223,-7.47407837922979e-09
"117","Edinboro University of Pennsylvania",4,167.34362490992,-2.93533988086675e-09
"118","Ramapo College of New Jersey",4,-181.845327021093,-1.1325749055326e-08
"119","Nicholls State University",4,94.4474348899214,2.11085197884498e-07
"120","University of South Carolina-Upstate",4,-300.798487329435,-3.03010298661477e-08
"121","SUNY College at Plattsburgh",4,-334.828920415207,-6.79777166639267e-09
"122","Southern Utah University",4,945.648482952602,NA
"123","Armstrong Atlantic State University",4,127.612809959391,3.13480660848791e-08
"124","Slippery Rock University of Pennsylvania",4,370.007522533034,NA
"125","The University of Texas at Tyler",4,225.976066262692,NA
"126","University of North Alabama",4,-100.516111311188,2.74536923040989e-08
"127","Midwestern State University",4,-570.209089347243,-4.75187084340103e-08
"128","University of North Dakota",4,1065.57998528709,NA
"129","Clayton State University",4,-9.73440131427878,4.29253830031022e-09
"130","SUNY College at Brockport",4,35.6563532170446,-4.70102042174383e-09
"131","Western Carolina University",4,383.644502715745,NA
"132","University of Nebraska at Kearney",4,-242.218717289962,-5.58731274529631e-09
"133","University of Southern Indiana",4,551.59624098565,-3.09363259520052e-09
"134","The Evergreen State College",4,-1706.02016334268,-7.2476218099937e-08
"135","McNeese State University",4,-73.2820760008258,-6.2637928194518e-08
"136","Eastern New Mexico University-Main Campus",5,2430.3428989937,-7.24626204120288e-09
"137","Oregon Institute of Technology",5,1975.0154163084,3.50004123168253e-08
"138","Shepherd University",5,1753.42244366221,-1.04594045353846e-08
"139","Delta State University",5,2145.56440606588,1.27681363857078e-08
"140","University of Arkansas",6,-188.717877456374,NA
"141","Grand Valley State University",6,-205.39638203907,NA
"142","University of Oregon",6,-377.347336695775,NA
"143","George Mason University",6,659.15848484246,NA
"144","University of Alabama at Birmingham",6,-1333.48957602775,NA
"145","Bowling Green State University-Main Campus",6,-1880.88943354258,NA
"146","California State Polytechnic University-Pomona",6,-1129.82354891224,NA
"147","Eastern Michigan University",6,-729.681410884629,NA
"148","University of Oklahoma-Norman Campus",6,-429.98710565071,NA
"149","Texas Tech University",6,-50.8760160745792,NA
"150","Georgia State University",6,50.603167783845,NA
"151","Miami University-Oxford",6,-1869.68649167952,NA
"152","Oregon State University",6,-357.167897195097,NA
"153","Virginia Commonwealth University",6,-188.631407989467,NA
"154","Stony Brook University",6,-794.829889824327,NA
"155","California State University-San Bernardino",6,-2114.75710839593,NA
"156","University of Louisville",6,-1194.837206268,NA
"157","Mississippi State University",6,-1574.98848381728,NA
"158","Florida Atlantic University",6,-111.813757207703,NA
"159","Indiana University-Purdue University-Indianapolis",6,-178.135916668407,NA
"160","The University of Texas at Dallas",6,-1537.7270857108,NA
"161","Utah State University",6,-454.545166680187,NA
"162","University of Toledo",6,-1863.58665123387,NA
"163","Louisiana State University and Agricultural & Mechanical College",6,-710.873639970955,NA
"164","University of Colorado Boulder",6,-478.144011442077,NA
"165","Colorado State University-Fort Collins",6,-603.630491866637,NA
"166","Kent State University at Kent",6,-639.52036261884,NA
"167","San Francisco State University",6,-865.035529475215,NA
"168","West Virginia University",6,-831.411577044547,NA
"169","University of Nebraska-Lincoln",6,-1555.16697052785,NA
"170","University of Vermont",6,-4924.74607217356,NA
"171","California State University-Los Angeles",6,-2076.00627181193,NA
"172","Northern Arizona University",6,-1333.89666797635,NA
"173","University of California-Santa Cruz",6,-3754.32845832243,NA
"174","University of Mississippi",6,-2341.44786150916,NA
"175","University of Utah",6,-843.622705920688,NA
"176","The University of Texas at Arlington",6,-171.417027279288,NA
"177","University of Cincinnati-Main Campus",6,-698.572996605592,NA
"178","California State University-Fullerton",6,-694.321911513847,NA
"179","University of Kentucky",6,-1692.95097370536,NA
"180","University of North Texas",6,-612.059077621211,NA
"181","Auburn University",6,-2305.68414791047,NA
"182","Oklahoma State University-Main Campus",6,-1988.3506451399,NA
"183","San Diego State University",6,-1317.62510788741,NA
"184","The University of Tennessee-Knoxville",6,-1532.29602452977,NA
"185","Washington State University",6,-1762.96177000691,NA
"186","North Carolina State University at Raleigh",6,-988.739900928747,NA
"187","University of North Carolina at Chapel Hill",6,-1802.2516151789,NA
"188","California State University-Long Beach",6,-1202.3778760058,NA
"189","University of South Florida-Main Campus",6,-594.507125635676,NA
"190","University of Iowa",6,-1681.67018946827,NA
"191","Iowa State University",6,-1451.59520693466,NA
"192","University of Missouri-Columbia",6,-1393.89176362049,NA
"193","University of Florida",6,-196.475554593449,NA
"194","University of Virginia-Main Campus",6,-2809.31280541377,NA
"195","University of Wisconsin-Madison",6,-809.548143167747,NA
"196","Texas A & M University-College Station",6,-83.2656214919798,NA
"197","University of Houston",6,-929.793560543426,NA
"198","University of California-Riverside",6,-4095.42873481847,NA
"199","University of Georgia",6,-1627.91177036902,NA
"200","University of California-Santa Barbara",6,-4025.24822629357,NA
"201","University of South Carolina-Columbia",6,-1949.84492677946,NA
"202","Purdue University-Main Campus",6,-1321.60640214367,NA
"203","Michigan State University",6,-840.227343367185,NA
"204","University of California-Irvine",6,-3410.28510298662,NA
"205","The University of Alabama",6,-2513.78067894601,NA
"206","University of California-San Diego",6,-4402.84132041108,NA
"207","University of Minnesota-Twin Cities",6,-1078.02907310239,NA
"208","University of Washington-Seattle Campus",6,-2168.41287936234,NA
"209","University of California-Davis",6,-4246.55313816791,NA
"210","Indiana University-Bloomington",6,-2429.52676674217,NA
"211","The University of Texas at Austin",6,-2342.40125685594,NA
"212","Ohio State University-Main Campus",6,-2172.92714756612,NA
"213","University of California-Berkeley",6,-6023.63831665305,NA
"214","University of California-Los Angeles",6,-5417.90601964237,NA
"215","Arizona State University-Tempe",6,-4365.19074394028,NA
"216","University of Michigan-Ann Arbor",6,-6439.76150695191,NA
"217","University of Mary Washington",7,1727.45326872197,-1.98016026198895e-08
"218","Dickinson State University",7,575.245105230054,-3.03145715260419e-08
"219","University of Maine at Fort Kent",7,206.153195488722,-3.19899687944635e-08
"220","University of Maine at Machias",7,-651.205062522782,-2.8553540134205e-08
"221","California Maritime Academy",7,-1351.7535841723,-3.1531977178149e-07
"222","University of South Carolina-Beaufort",7,216.94934553808,-2.57668202267924e-08
"223","Dakota State University",7,1378.64941457722,-4.71478288312454e-09
"224","Montana State University-Northern",7,-354.646442411097,-6.66901730811308e-08
"225","Georgia Southwestern State University",8,-1169.27083593218,-3.50040620573579e-08
"226","Purdue University-North Central Campus",8,-49.7660975874539,-9.48985613322886e-09
"227","Louisiana State University-Shreveport",8,-359.923390682805,1.51645065590951e-08
"228","Western State Colorado University",8,-1576.42852415619,-1.56174250405173e-08
"229","Indiana University-Kokomo",8,-375.871158281226,-3.95282187682423e-07
"230","University of Minnesota-Crookston",8,-938.224056798884,-1.27514541862434e-08
"231","Glenville State College",8,-1755.09094421144,-1.23679486086597e-07
"232","Minot State University",8,-541.989991461979,-1.02440082534834e-08
"233","Lyndon State College",8,-2173.24363446615,-1.30829320292575e-08
"234","South Dakota School of Mines and Technology",8,-909.445625102801,-1.13225135177481e-08
"235","University of Illinois at Springfield",8,154.406957500579,1.76554369535841e-08
"236","Worcester State University",9,3235.36040644284,-5.76392013746239e-09
"237","Montana Tech of the University of Montana",9,265.217098697034,-8.08062717661299e-08
"238","West Liberty University",9,1096.05509583137,-7.80497678414687e-09
"239","University of South Carolina-Aiken",9,1861.84277729977,-1.96382874487842e-07
"240","Concord University",9,1338.15151977085,-2.54964360684312e-08
"241","Lewis-Clark State College",9,2454.36125257192,-1.67374917849783e-08
