,UNITID,INSTNM,SATVR25,SATVR75,SATMT25,SATMT75,SATVRMID,SATMTMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTCMMID,ACTENMID,ACTMTMID,SAT_AVG,SAT_AVG_ALL,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,RET_FT4,RET_PT4,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,POOR_Prop,Tot_Grant,Avg_Income_Low,Tot_Students,GG_NO_re
131,151111,Indiana University-Purdue University-Indianapolis,4.965550390823484e-06,6.207021260642214e-06,5.078411378988823e-06,6.432743236972893e-06,5.586285825732849e-06,5.755577307980858e-06,2.1410278906270992e-07,2.818193819619134e-07,2.0281669024617601e-07,2.818193819619134e-07,2.0281669024617601e-07,2.931054807784473e-07,2.4796108551231165e-07,2.4796108551231165e-07,2.4796108551231165e-07,1.1432485012697412e-05,1.1432485012697412e-05,0.0001655215921548348,0.00010929424785086291,0.00013300634146440064,0.00018346648927312375,0.00021916441982982048,0.0002224373884866153,7.78725964706187e-09,5.68353082765995e-09,0.00028653114366571135,3.180753693047119e-06,8.516456139368553e-09,4.199806950421495e-09,0.0004412861306380243,7.326984254359984e-09,2.9598492078710984e-09,1.0,0.001814747926116118,0.0004178900477913495,0.0
132,151324,Indiana State University,1.0125532189430949e-05,1.2910253629949005e-05,1.0125532189430949e-05,1.2910253629949005e-05,1.1517892909689977e-05,1.1517892909689977e-05,4.043227970770095e-07,5.562166938325397e-07,3.7900714761775445e-07,5.309010443732847e-07,4.043227970770095e-07,5.562166938325397e-07,4.802697454547746e-07,4.5495409599551953e-07,4.802697454547746e-07,2.3036513413651028e-05,2.3036513413651028e-05,0.00030034413759033086,0.00020809391096080545,0.00024371302974997733,0.0003543930491858404,0.0004348714988168122,0.00042808690476173184,1.5355437830393373e-08,7.71011169369835e-09,0.0006124607797734865,6.7988506848669235e-06,1.8281940223914872e-08,1.0040060098555855e-08,0.0009113626529389108,1.4683718919079059e-08,8.44914772696191e-09,1.0,0.004038959249733117,0.0004031763056938249,0.0
133,180416,Montana Tech of the University of Montana,5.4430205018987436e-05,6.749345422354441e-05,5.987322552088617e-05,6.640485012316466e-05,6.0961829621265926e-05,6.313903782202543e-05,2.286068610797472e-06,2.9392310710253215e-06,2.0683477907215222e-06,2.6126498409113966e-06,2.394929020835447e-06,2.9392310710253215e-06,2.6126498409113966e-06,2.394929020835447e-06,2.7215102509493717e-06,0.00012137935719234198,0.00012137935719234198,0.00126484910423123,0.00099607275184747,0.0011645886665862552,0.0012538542028173946,0.0016138555788129773,0.0016490174912552433,7.484153190110772e-08,0.0,0.002122288123895339,2.356174886861376e-05,8.159225669371774e-08,5.282246173447726e-08,0.0043326443195114,6.927480525961247e-08,3.6599620665015183e-08,1.0,0.020636232489258742,0.0002590877758903802,2.9859841133472008e-09
134,199120,University of North Carolina at Chapel Hill,4.645602183924546e-06,5.511769751368404e-06,4.803087196187065e-06,5.590512257499664e-06,5.078685967646475e-06,5.1967997268433645e-06,2.202733393477406e-07,2.5177034180024454e-07,2.202733393477406e-07,2.675188430264965e-07,2.1239908873461463e-07,2.596445924133705e-07,2.360218405739926e-07,2.438960911871186e-07,2.360218405739926e-07,1.0338685377214634e-05,1.0338685377214634e-05,0.0001049005609902446,4.511137608477899e-05,5.95370032080258e-05,9.906574128591824e-05,0.0001441930715497433,0.00017232776899044246,7.360689594365724e-09,7.66857279333895e-09,0.00012524762457456214,1.39030199603367e-06,7.221981685474527e-09,6.857011862520019e-09,0.00039686202522372995,5.736739897012404e-09,1.5204772567524719e-09,1.0,0.0016130321581704255,0.00024893635320554516,0.0
135,141264,Valdosta State University,2.2336749740173073e-05,2.6525112128942732e-05,2.1871376141420888e-05,2.5594364931438362e-05,2.4430930934557904e-05,2.3732870536429627e-05,9.295641975725892e-07,1.115713637073463e-06,9.295641975725892e-07,1.115713637073463e-06,8.830268376973708e-07,1.115713637073463e-06,1.0226389173230262e-06,1.0226389173230262e-06,1.0226389173230262e-06,4.8071909751168876e-05,4.8071909751168876e-05,0.0007293323209644916,0.0006245767238853749,0.000676558954865994,0.0008113776864245018,0.000840184312187262,0.0008547505058282054,3.0857972342308297e-08,1.9498202796767476e-08,0.0011748344670499578,1.3041901131031466e-05,3.1870121060898806e-08,1.7678012030530312e-08,0.0017684184922583692,2.7222168364163374e-08,1.576619171571627e-08,1.0,0.007198630329298233,0.0006526387518901316,0.0
136,182290,University of Nevada-Reno,1.2212627903154324e-05,1.5011502767440457e-05,1.2212627903154324e-05,1.5265945936921014e-05,1.3612065335297391e-05,1.3739286920037669e-05,5.336864239967327e-07,6.609080087370116e-07,5.08242107048677e-07,6.609080087370116e-07,5.08242107048677e-07,6.609080087370116e-07,6.100193748409001e-07,5.845750578928443e-07,5.845750578928443e-07,2.7504662388935832e-05,2.7504662388935832e-05,0.0003869310835971715,0.00031716276652560255,0.0003390703234178786,0.00040558176792009635,0.00047568086111198995,0.00048071883586770495,1.968323289736359e-08,1.1230630807219467e-08,0.00047691491048397066,5.294096102957139e-06,2.0748383962104413e-08,1.2727402751305407e-08,0.0011577157769046245,1.6677078169604328e-08,6.834543041136966e-09,1.0,0.004955407302986686,0.0005461107304242082,0.0
137,409698,California State University-Monterey Bay,1.8926692466199088e-05,2.376868568771293e-05,1.8926692466199088e-05,2.376868568771293e-05,2.134768907695601e-05,2.134768907695601e-05,7.912269456199911e-07,1.055335666793473e-06,7.031907052288305e-07,1.0113175465978927e-06,7.472088254244108e-07,1.055335666793473e-06,9.232813062067321e-07,8.792631860111518e-07,9.232813062067321e-07,4.2960586092985954e-05,4.2960586092985954e-05,0.00045347357503696816,0.00023479155390532504,0.00035205582610635107,0.0005582367011024494,0.0007557900245402139,0.0007996760903752076,3.465229932239541e-08,2.0909842197335227e-08,0.0007813205342536506,8.673172622982377e-06,3.6073685536434963e-08,1.5477166695630364e-08,0.0018267508888986836,2.4837384942476798e-08,1.5883081551738716e-08,1.0,0.018268927361794196,0.0002718107929898081,0.0
138,111188,California Maritime Academy,0.0001231699824149026,0.0001519984941017,0.00012841152999432028,0.00015986081547082653,0.00013758423825830127,0.00014413617273257342,5.497239256975029e-06,6.807626151829456e-06,4.9730844990332576e-06,6.807626151829456e-06,5.759316635945914e-06,7.069703530800341e-06,6.2834713938876845e-06,6.0213940149168e-06,6.54554877285857e-06,0.0002830371835871427,0.0002830371835871427,0.004448495044950395,0.0029800754905765243,0.0035207411233934612,0.003877428436172836,0.004939890130520806,0.005718259946064335,2.088846576731206e-07,1.2465298807187803e-07,0.006814005467541608,7.564311459388312e-05,2.3145849536651145e-07,1.4649189606152191e-07,0.02125446904883739,1.9424770314940564e-07,4.8672571580785684e-08,1.0,0.03211993510359133,0.0002783197907656668,0.0
139,171128,Michigan Technological University,1.2921781548883759e-05,1.6152226936104698e-05,1.4412756342985731e-05,1.6897714333155684e-05,1.4537004242494227e-05,1.565523533807071e-05,5.963899176407889e-07,7.206378171492865e-07,5.466907578373897e-07,6.95788237247587e-07,6.212394975424884e-07,7.45487397050986e-07,6.709386573458874e-07,6.212394975424884e-07,6.95788237247587e-07,2.996859336144964e-05,2.996859336144964e-05,0.00035897703125995146,0.00022871553341524253,0.00026832576377855156,0.00031872071181919824,0.000417323844869142,0.0005032288425893173,2.0423869721206848e-08,0.0,0.0006709386573458874,7.44879452078691e-06,2.293905352273981e-08,1.622866812041679e-08,0.001493459752092142,1.988278796084571e-08,4.4186039212786174e-09,1.0,0.0044811744428332806,0.0001866203450617635,5.481880195752068e-10
140,218742,University of South Carolina-Upstate,2.7444766438585653e-05,3.305874060080929e-05,2.7444766438585653e-05,3.368251550772303e-05,3.025175351969747e-05,3.056364097315434e-05,1.1838428575173056e-06,1.4333528202828004e-06,1.1214653668259318e-06,1.4333528202828004e-06,1.059087876134558e-06,1.4333528202828004e-06,1.308597838900053e-06,1.308597838900053e-06,1.2462203482086792e-06,6.125336639331023e-05,6.125336639331023e-05,0.0008353580258732584,0.0006646932113416598,0.0007410432599479014,0.0009428344423344953,0.001041765142571014,0.001084992743620136,3.99020557282024e-08,2.1195046269859423e-08,0.0014502753291088207,1.609971451170756e-05,4.8933490627091554e-08,2.3018057939867917e-08,0.0022518260844929736,3.874588494607839e-08,1.964320888890845e-08,1.0,0.014309270280154137,0.000421046732701154,0.0
