"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Onondaga School of Therapeutic Massage-Syracuse",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20184,NA,NA,NA,NA,NA,20184,NA,NA,NA,NA,NA,1,NA,0.8824,8769,97.35387645,0.740740741,NA,NA,NA,NA,1
"Opelousas School of Cosmetology Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10089,NA,NA,NA,NA,NA,9627,11527,11544,NA,13144,NA,0.5,NA,NA,NA,NA,NA,NA,0.422515493,NA,NA,0.8
"Opportunities Industrialization Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12514,NA,NA,NA,NA,NA,11690,13789,16689,NA,NA,NA,0.8222,NA,NA,6333,70.30928265,0.255813953,NA,0.840452128,22000,0.282352954,0.756756756756757
"Oral Roberts University",3,0,460,570,450,560,NA,NA,515,505,NA,20,25,20,26,18,25,NA,NA,23,23,22,NA,1037,1037,NA,21258,NA,NA,NA,NA,NA,19353,18756,21781,22312,24355,0.8056,NA,0.25,NA,27000,299.75535,0.777429467,0.519828993,NA,34900,0.570224702,0.289308176100629
"Orange Coast College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9798,NA,9798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7724,NA,0.6224,5400,59.95107,0.694306931,NA,0.460144523,34800,0.478239834,1
"Orange County Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6012,NA,3147,4881,7968,9762,10131,NA,NA,NA,NA,NA,NA,0.6405,NA,0.4682,12000,133.2246,0.667477697,NA,0.239828702,32700,0.564593315,0.39142091152815
"Orange Ulster BOCES-Practical Nursing Program",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16399,NA,14872,15164,NA,19864,19864,NA,NA,NA,NA,NA,NA,0.9,NA,0.625,11880,131.892354,0.657894737,NA,0.880007,NA,0.755319178,0.6
"Orangeburg Calhoun Technical College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6993,NA,6664,7099,7762,9278,9654,NA,NA,NA,NA,NA,NA,0.5285,NA,0.3396,10500,116.571525,0.436459246,NA,0.176555623,23700,0.404505372,0.685810810810811
"Oregon Coast Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9400,NA,9181,NA,10168,NA,NA,NA,NA,NA,NA,NA,NA,0.4211,NA,0.2843,11000,122.12255,0.498023715,NA,0.125013889,23900,0.453237414,0.777777777777778
"Oregon College of Art and Craft",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24952,NA,NA,NA,NA,NA,25783,15483,26283,25850,31683,0.5263,NA,NA,NA,35500,394.122775,0.75862069,NA,NA,NA,0.353846163,0.285714285714286
"Oregon College of Oriental Medicine",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon Health & Science University",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15364.5,170.5774472,0.965116279,NA,NA,74100,0.943231463,NA
"Oregon Institute of Technology",3,0,440,550,460,580,420,530,495,520,475,20,25,18,24,21,26,NA,NA,23,21,24,NA,1025,1025,13809,NA,10722,10781,14233,17560,17896,NA,NA,NA,NA,NA,0.7423,NA,0.25,NA,26067,289.3971374,0.893416928,0.464228624,NA,50100,0.761321902,0.261603375527426
"Oregon State University",3,0,480,600,490,630,NA,NA,540,560,NA,21,27,20,27,21,28,NA,NA,24,24,25,NA,1102,1102,17420,NA,13854,14471,17038,21070,21353,NA,NA,NA,NA,NA,0.8415,NA,0.5556,NA,23166,257.1900903,0.887714182,0.611886887,NA,46400,0.675921142,0.243110838946724
"Oregon State University-Cascades Campus",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23166,257.1900903,0.887714182,NA,NA,46400,0.675921142,NA
"Orlando Tech",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13450,NA,13303,NA,16974,NA,NA,NA,NA,NA,NA,NA,NA,0.5115,NA,0.5,NA,NA,NA,NA,0.591905342,31500,0.452554733,0.96
"Orleans Niagara BOCES-Practical Nursing Program",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12224,NA,12192,10332,14457,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13166,146.1695903,0.533333333,NA,0.879151648,NA,NA,0.846153846153846
"Orleans Technical Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15907,NA,NA,NA,NA,NA,14990,15735,17768,21058,21058,NA,0.7891,NA,0.6667,7521,83.49851805,0.429441624,NA,0.777272931,28200,0.464169383,0.666666666666667
"Orlo School of Hair Design and Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12169,NA,NA,NA,NA,NA,11849,12121,14351,15151,15151,NA,0.8108,NA,0.7143,7100,78.824555,0.76142132,NA,0.887482917,20200,0.330882341,0.842105263157895
"Oswego County BOCES",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8698,NA,8698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.7857,5974,66.3236467,0.64556962,NA,0.70732439,28500,0.439560443,1
"Otero Junior College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10667,NA,9765,10294,11697,13945,14154,NA,NA,NA,NA,NA,NA,0.5305,NA,0.4205,9397.5,104.3315149,0.419444444,NA,0.460073384,28900,0.415860742,0.5
"Otis College of Art and Design",3,0,430,550,430,580,NA,NA,490,505,NA,19,25,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,1002,1002,NA,31146,NA,NA,NA,NA,NA,26972,26954,32936,40258,40144,0.8087,NA,NA,NA,27000,299.75535,0.829694323,0.552894562,NA,42000,0.617142856,0.365079365079365
"Otsego Area BOCES-Practical Nursing Program",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16702,NA,14981,17050,NA,21500,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.709302326,NA,0.729768919,NA,0.618181825,0.363636363636364
"Ottawa University-Jeffersonville",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25000,277.55125,0.724907063,NA,NA,40700,0.730100632,NA
"Ottawa University-Kansas City",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,25000,277.55125,0.724907063,NA,NA,40700,0.730100632,NA
"Ottawa University-Milwaukee",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,277.55125,0.724907063,NA,NA,40700,0.730100632,NA
