"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"George Fox University",3,0,470,600,470,600,460,590,535,535,525,20,26,20,27,19,26,6,8,23,24,23,7,1070,1070,NA,24402,NA,NA,NA,NA,NA,19978,20465,22658,26061,30335,0.8262,NA,1,NA,22000,244.2451,0.916839917,0.63296,NA,43300,0.675202131,0.178977272727273
"George Mason University",3,0,520,620,530,630,NA,NA,570,580,NA,24,28,23,29,23,27,NA,NA,26,26,25,NA,1155,1155,18305,NA,13249,14854,17997,20801,21863,NA,NA,NA,NA,NA,0.8728,NA,0.6923,NA,20250,224.8165125,0.927039413,0.663020158,NA,57000,0.782995939,0.200168918918919
"George Stone Technical Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8913,NA,8490,10016,10941,NA,NA,NA,NA,NA,NA,NA,NA,0.9063,NA,0.9767,NA,NA,NA,NA,0.4676,21500,0.378881991,0.769230769230769
"George T Baker Aviation School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392,NA,760,2777,3320,NA,NA,NA,NA,NA,NA,NA,NA,0.5537,NA,0.4526,NA,NA,NA,NA,0.861867105,40300,0.703389823,0.2
"George Washington University",3,0,600,690,600,700,610,700,645,650,655,27,31,27,33,26,31,8,9,29,30,29,9,1297,1297,NA,30206,NA,NA,NA,NA,NA,19079,18255,23292,29732,40468,0.9226,NA,0.6364,NA,25175,279.4941088,0.951241535,0.801883169,NA,64500,0.829811513,0.170399221032132
"Georgetown College",3,0,410,610,460,560,NA,NA,510,510,NA,21,26,20,27,19,25,NA,NA,24,24,22,NA,1085,1085,NA,18638,NA,NA,NA,NA,NA,15358,15416,18681,20061,23911,0.7553,NA,NA,NA,27000,299.75535,0.878350515,0.580239506,NA,43000,0.640866876,0.28042328042328
"Georgetown University",3,0,650,750,660,750,NA,NA,700,705,NA,29,33,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,1398,1398,NA,27801,NA,NA,NA,NA,NA,10197,10990,15885,27224,44727,0.9598,NA,0.5,NA,17500,194.285875,0.965659341,0.928865118,NA,83300,0.891628802,0.173838209982788
"Georgia Beauty Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14016,NA,NA,NA,NA,NA,13863,14584,15834,NA,NA,NA,0.5909,NA,0.625,10412.5,115.6000956,NA,NA,0.6,NA,NA,0.875
"Georgia Career Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9449,NA,NA,NA,NA,NA,9449,NA,NA,NA,NA,NA,0.7262,NA,NA,7917,87.89492985,0.430252101,NA,0.558695812,14200,0.257240206,1
"Georgia Christian University",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20385,NA,NA,NA,NA,NA,20385,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Georgia College and State University",3,0,530,610,520,620,510,600,570,570,555,22,26,22,27,22,26,NA,NA,24,25,24,NA,1126,1126,16352,NA,12590,13818,16643,17982,18063,NA,NA,NA,NA,NA,0.8459,NA,0.7143,NA,21304,236.5180732,0.885185185,0.59255,NA,38500,0.638297856,0.164086687306502
"Georgia Gwinnett College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12217,NA,10945,11734,14021,15560,15352,NA,NA,NA,NA,NA,0.6316,NA,0.4829,NA,21636,240.2039538,0.606284658,0.2678,NA,NA,NA,0.523264137437366
"Georgia Highlands College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5993,NA,4759,5202,7919,9394,9298,NA,NA,NA,NA,NA,NA,0.6467,NA,0.5515,9250,102.6939625,0.648285138,NA,0.128255716,34100,0.53882575,0.503828483920367
"Georgia Institute of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13670,NA,NA,NA,NA,NA,13413,13670,17270,17270,NA,NA,0.8361,NA,0.907,15207,168.8288744,0.371980676,NA,0.860473784,16900,0.171945706,0.502564102564103
"Georgia Institute of Technology-Main Campus",3,0,600,700,660,760,610,700,650,710,655,28,32,28,33,29,34,8,9,30,31,32,9,1352,1352,11053,NA,7364,8626,11896,13918,14114,NA,NA,NA,NA,NA,0.9552,NA,1,NA,22750,252.5716375,0.952875696,0.806982308,NA,74000,0.857594907,0.251572327044025
"Georgia Military College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13140,NA,12434,13263,15077,14838,16062,NA,NA,NA,NA,NA,NA,0.5512,NA,0.275,10500,116.571525,0.480910918,NA,0.26941032,31300,0.492805749,0.639118457300275
"Georgia Military College-Augusta Campus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Columbus Campus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Distance Learning Campuses",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15937,NA,14865,15865,17900,19602,19821,NA,NA,NA,NA,NA,NA,0.36,NA,0.2815,10500,116.571525,0.480910918,NA,NA,NA,NA,0.611404435058078
"Georgia Military College-Fairburn Campus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Online",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Stone Mountain",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Valdosta Campus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Military College-Warner Robins Campus",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,NA,NA,NA
"Georgia Northwestern Technical College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4779,NA,4337,5100,6877,7552,9146,NA,NA,NA,NA,NA,NA,0.5131,NA,0.4384,6334,70.3203847,NA,NA,0.400812367,25700,0.435506254,0.713942307692308
"Georgia Perimeter College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6558,NA,5832,6344,8550,10344,10575,NA,NA,NA,NA,NA,NA,0.5821,NA,0.4163,12500,138.775625,0.484285466,NA,0.123552575,32500,0.507958174,0.629455279085407
"Georgia Piedmont Technical College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8435,NA,8078,9186,10588,13800,NA,NA,NA,NA,NA,NA,NA,0.5482,NA,0.3668,7000,77.71435,NA,NA,0.307767153,26300,0.40927583,0.807881773399015
"Georgia Regents University",3,0,460,550,460,560,NA,NA,505,510,NA,18,23,18,23,18,24,NA,NA,21,21,21,NA,1002,1002,2898,NA,1135,1863,4019,6130,5973,NA,NA,NA,NA,NA,0.6762,NA,0.4615,NA,10000,111.0205,0.959247649,0.2935,NA,NA,NA,0.42037037037037
"Georgia Southern University",3,0,520,590,510,600,490,570,555,555,530,21,25,21,25,20,25,6,8,23,23,23,7,1094,1094,16405,NA,13532,14674,17172,18430,18736,NA,NA,NA,NA,NA,0.8048,NA,0.5357,NA,21927,243.4346504,0.763758146,0.504410314,NA,39300,0.639956117,0.25748502994012
"Georgia Southwestern State University",3,0,440,520,420,520,NA,NA,480,470,NA,18,22,18,22,17,23,NA,NA,20,20,20,NA,950,950,12247,NA,9462,11672,13650,15075,16147,NA,NA,NA,NA,NA,0.6497,NA,0.3333,NA,20000,222.041,0.698666667,0.325245743,NA,36400,0.569908798,0.375
"Georgia State University",3,0,480,580,480,590,NA,NA,530,535,NA,20,25,20,25,19,25,NA,NA,23,23,22,NA,1060,1060,15377,NA,13435,14322,16726,18748,18900,NA,NA,NA,NA,NA,0.8232,NA,0.5361,NA,23000,255.34715,0.726676684,0.520757338,NA,41500,0.643725634,0.408023900981647
"Georgian Court University",3,0,390,500,400,510,380,500,445,455,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,NA,17836,NA,NA,NA,NA,NA,16190,15472,20545,22314,25330,0.7125,NA,0,NA,25537.5,283.5186019,0.877461707,0.499995833,NA,45700,0.658054709,0.606896551724138
"Gerbers Akron Beauty School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6748,NA,NA,NA,NA,NA,6714,5901,7988,NA,NA,NA,0.8571,NA,0.6667,NA,NA,NA,NA,0.549178689,NA,0.213114753,0.851851851851852
"Germanna Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,NA,5502,6504,7739,9985,10402,NA,NA,NA,NA,NA,NA,0.608,NA,0.4226,9430,104.6923315,NA,NA,0.218406209,32400,0.52620548,0.495049504950495
"Gettysburg College",3,0,600,690,600,680,NA,NA,645,640,NA,27,29,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,1282,1282,NA,24361,NA,NA,NA,NA,NA,12102,15361,18755,24764,32839,0.8817,NA,NA,NA,22227,246.7652654,0.960294118,0.838468258,NA,52200,0.774131298,0.142465753424658
"Gill-Tech Academy of Hair Design",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10444,NA,NA,NA,NA,NA,7926,12171,12784,13172,13272,NA,0.84,NA,0.8,9552.5,106.0523326,0.651515152,NA,0.844,19900,0.25,0.481481481481481
"Glen Dow Academy of Hair Design",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12175,NA,NA,NA,NA,NA,12006,11862,14175,14216,NA,NA,0.72,NA,NA,5225,58.00821125,0.661087866,NA,0.860586058,18200,0.313186824,0.88
"Glen Oaks Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5915,NA,5072,5682,7308,8693,9294,NA,NA,NA,NA,NA,NA,0.5756,NA,0.4474,5335,59.22943675,0.577889447,NA,0.261516667,24900,0.438172042,0.504761904761905
"Glendale Career College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17305,NA,NA,NA,NA,NA,16704,16763,21961,22364,22364,NA,0.7727,NA,NA,11542.5,128.1454121,0.655440415,NA,0.839972842,27800,0.532731354,0.635593220338983
"Glendale Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2861,NA,2861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7696,NA,0.5683,NA,NA,0.787234043,NA,0.334421649,30800,0.432794452,0.618343195266272
"Glendale Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2861,NA,2861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7696,NA,0.5683,NA,NA,0.787234043,NA,0.334421649,30800,0.432794452,1
"Glendale Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7763,NA,7012,7705,9870,11390,11919,NA,NA,NA,NA,NA,NA,0.5945,NA,0.3965,NA,NA,0.55743349,NA,0.191105333,33300,0.564144731,0.618343195266272
"Glendale Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7763,NA,7012,7705,9870,11390,11919,NA,NA,NA,NA,NA,NA,0.5945,NA,0.3965,NA,NA,0.55743349,NA,0.191105333,33300,0.564144731,1
"Glenville State College",3,0,360,480,370,460,NA,NA,420,415,NA,16,21,15,21,16,19,NA,NA,19,18,18,NA,879,879,15890,NA,15307,12687,17384,19910,19910,NA,NA,NA,NA,NA,0.6331,NA,0,NA,27000,299.75535,0.530913978,0.341846182,NA,31400,0.536585391,0.449275362318841
"Glenwood Beauty Academy",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12460,NA,NA,NA,NA,NA,10243,13085,15882,15882,15882,NA,0.7667,NA,0.8,12000,133.2246,0.556962025,NA,0.576488235,NA,0.431034476,0.459459459459459
"Global Health College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38420,NA,NA,NA,NA,NA,38416,38512,NA,NA,NA,NA,0.6452,NA,0.65,14390,159.7584995,0.658536585,NA,0.607928904,NA,NA,0.954545454545455
"Global Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3888,NA,NA,NA,NA,NA,3888,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Globe Institute of Technology",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18112,NA,NA,NA,NA,NA,17526,17510,20404,23509,22745,0.6,NA,NA,NA,8995,99.86293975,0.486725664,0.176058873,NA,29100,0.345378727,0.720930232558139
"Globe University-Appleton",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23848,NA,NA,NA,NA,NA,23005,23396,23996,26358,28514,1,NA,NA,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.472222222222222
"Globe University-Eau Claire",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23889,NA,NA,NA,NA,NA,22929,23313,27113,28370,NA,1,NA,0,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.653846153846154
"Globe University-La Crosse",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24901,NA,NA,NA,NA,NA,25391,23244,23938,21879,28879,0.6667,NA,1,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.594594594594595
"Globe University-Madison East",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25088,NA,NA,NA,NA,NA,24812,24494,NA,30686,NA,0.5,NA,0,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.842105263157895
"Globe University-Minneapolis",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22241,NA,NA,NA,NA,NA,21501,NA,25200,NA,NA,1,NA,0.5,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.8
"Globe University-Sioux Falls",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23540,NA,NA,NA,NA,NA,22582,19838,24660,24840,21498,0.5,NA,0,NA,27000,299.75535,0.481506389,NA,NA,31100,0.526717544,0.380952380952381
"Globe University-Woodbury",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22781,NA,NA,NA,NA,NA,21803,21098,23986,23893,27008,0.3,NA,0.2,NA,27000,299.75535,0.481506389,0.322574194,NA,31100,0.526717544,0.413793103448276
"Globelle Technical Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7677,NA,NA,NA,NA,NA,7710,6803,8451,NA,NA,NA,0.7294,NA,NA,NA,NA,NA,NA,0.916640625,16300,0.144927531,0.864864864864865
"Gloucester County College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7609,NA,7035,7452,8980,11358,11530,NA,NA,NA,NA,NA,NA,0.6373,NA,0.4222,10500,116.571525,0.65851272,NA,0.31017462,34200,0.507836998,0.759829968119022
"GMC-Madison",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,31300,0.492805749,NA
"GMC-Sandersville",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,116.571525,0.480910918,NA,NA,31300,0.492805749,NA
"Gnomon School of Visual Effects",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31345,NA,NA,NA,NA,NA,30728,28878,34428,NA,NA,NA,1,NA,NA,28333,314.5543827,0.953488372,NA,0.875009722,NA,NA,0.333333333333333
"Goddard College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21525,NA,NA,NA,NA,NA,21788,21263,NA,NA,NA,0.6667,NA,NA,NA,19750,219.2654875,0.831632653,0.277772222,NA,25800,0.430232555,0.5
"Gods Bible School and College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8975,NA,NA,NA,NA,NA,8333,9749,8943,NA,NA,0.7647,NA,0.6667,NA,NA,NA,0.769230769,0.453711111,NA,26300,0.266666681,0.4
"Gogebic Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8352,NA,6822,8079,9505,12133,12272,NA,NA,NA,NA,NA,NA,0.6419,NA,0.4091,9675,107.4123338,0.755600815,NA,0.469512602,26700,0.394021749,0.474285714285714
"Golden Gate University-Los Angeles",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28117.5,312.1618909,0.831168831,NA,NA,64200,0.850622416,NA
"Golden Gate University-San Francisco",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28117.5,312.1618909,0.831168831,NA,NA,64200,0.850622416,NA
"Golden Gate University-Seattle",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28117.5,312.1618909,0.831168831,NA,NA,64200,0.850622416,NA
"Golden Gate University-Silicon Valley",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28117.5,312.1618909,0.831168831,NA,NA,64200,0.850622416,NA
"Golden State College of Court Reporting",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15507,NA,NA,NA,NA,NA,12883,12883,17831,18433,NA,NA,0.8889,NA,0.8333,NA,NA,NA,NA,0.575751515,NA,NA,0.25
"Golden West College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10198,NA,10198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7297,NA,0.5301,7054,78.3138607,0.672853828,NA,0.374765608,31700,0.463035017,1
"Goldey-Beacom College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19510,NA,NA,NA,NA,NA,19080,19469,22402,17075,20869,0.5506,NA,0.6,NA,24375,270.6124688,0.773993808,0.419095436,NA,43900,0.726962447,0.348484848484849
"Golf Academy of America-Altamonte Springs",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22695,NA,NA,NA,NA,NA,21865,18302,21654,25004,26104,NA,0.7586,NA,0.2,19000,210.93895,0.256332599,NA,0.959028689,26400,0.389043003,0.631578947368421
"Golf Academy of America-Carlsbad",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23374,NA,NA,NA,NA,NA,22116,25091,23919,26489,25262,NA,0.8511,NA,0.4667,19000,210.93895,0.256332599,NA,0.533337037,26400,0.389043003,0.58
"Golf Academy of America-Farmers Branch",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21542,NA,NA,NA,NA,NA,20434,20603,NA,23100,25409,NA,0.8649,NA,0.6,19000,210.93895,0.256332599,NA,NA,NA,NA,0.619047619047619
"Golf Academy of America-Myrtle Beach",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22858,NA,NA,NA,NA,NA,21578,22548,25634,24955,25917,NA,0.9225,NA,0.3333,19000,210.93895,0.256332599,NA,0.678242574,26400,0.389043003,0.579545454545455
"Golf Academy of America-Phoenix",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22096,NA,NA,NA,NA,NA,20636,23374,24535,24964,24964,NA,0.7966,NA,0,19000,210.93895,0.256332599,NA,0.78347732,26400,0.389043003,0.606060606060606
"Gonzaga University",3,0,540,640,550,650,NA,NA,590,600,NA,25,29,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,1204,1204,NA,28155,NA,NA,NA,NA,NA,21095,21628,25543,28879,32020,0.9425,NA,1,NA,27000,299.75535,0.948494983,0.817404627,NA,52800,0.760649085,0.141025641025641
"Good Samaritan College of Nursing and Health Science",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,22,19,21,17,22,NA,NA,21,20,20,NA,970,970,NA,23815,NA,NA,NA,NA,NA,19732,22314,24755,24972,25055,NA,NA,NA,NA,22375,248.4083688,0.855721393,NA,NA,44000,0.802547753,0.142857142857143
"Gooding Institute of Nurse Anesthesia",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goodwin College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21072,NA,NA,NA,NA,NA,22077,20490,19828,22809,15518,0.5405,NA,0.5385,NA,33764,374.8496162,0.589485459,0.288267059,NA,25800,0.656163096,0.503267973856209
"Gordon-Conwell Theological Seminary",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
