"","INSTNM","POOR_Prop"
"265","California Hair Design Academy",0.873015873015873
"266","California Institute of the Arts",0.29126213592233
"267","California Maritime Academy",0.210084033613445
"268","California Western School of Law",NA
"269","Canada College",1
"270","College of the Canyons",1
"271","Career Academy of Beauty",0.695652173913043
"272","Casa Loma College-Van Nuys",0.786885245901639
"273","CET-San Diego",0.84375
"274","CET-Sobrato",0.807692307692308
"275","CET-El Centro",0.941176470588235
"276","CET-San Bernardino",0.8
"277","CET-Watsonville",0.727272727272727
"278","CET-Gilroy",0.9
"279","CET-Salinas",0.8
"280","Cerritos College",1
"281","Cerro Coso Community College",1
"282","Chabot College",1
"283","Chaffey College",1
"284","Chapman University",0.12111801242236
"285","Charles R Drew University of Medicine and Science",NA
"286","Concordia University-Irvine",0.19811320754717
"287","San Diego Christian College",0.352272727272727
"288","Church Divinity School of the Pacific",NA
"289","Citrus College",0.997222222222222
"290","Citrus Heights Beauty College",0.645161290322581
"291","City College of San Francisco",1
"292","Claremont Graduate University",NA
"293","Claremont McKenna College",0.101851851851852
"294","Milan Institute-Visalia",0.842105263157895
"295","Clovis Adult Education",1
"296","Coastline Community College",1
"297","Cogswell College",0.465116279069767
"298","Coleman University",1
"299","COBA Academy",NA
"300","Western University of Health Sciences",NA
"301","Columbia College",1
"302","Columbia College-Hollywood",0.515151515151515
"303","El Camino College-Compton Center",1
"304","Contra Costa College",1
"305","Cosumnes River College",1
"306","Crafton Hills College",1
"307","Cuesta College",0.983333333333333
"308","Cuyamaca College",0.995260663507109
"309","Cypress College",1
"310","De Anza College",0.99645390070922
"311","Marinello Schools of Beauty-Hemet",0.776266996291718
"312","International School of Beauty Inc",0.896551724137931
"313","Dell'Arte International School of Physical Theatre",NA
"314","College of the Desert",1
"315","Design Institute of San Diego",0.666666666666667
"316","Diablo Valley College",0.992565055762082
"317","Dominican University of California",0.137339055793991
"318","Dominican School of Philosophy & Theology",NA
"319","East Los Angeles College",1
"320","Marinello Schools of Beauty-Santa Clara",0.723636363636364
"321","El Camino Community College District",1
"322","Elegance International",0.714285714285714
"323","Marinello Schools of Beauty-Burbank",0.755244755244755
"324","Marinello Schools of Beauty-Moreno Valley",0.770588235294118
"325","Emperor's College of Traditional Oriental Medicine",NA
"326","Empire College School of Business",1
"327","Evergreen Valley College",1
"328","Fashion Institute of Design & Merchandising-Los Angeles",0.304740406320542
"329","Fashion Institute of Design & Merchandising-San Francisco",0.361904761904762
"330","Fashion Institute of Design & Merchandising-Orange County",0.4453125
"331","Feather River Community College District",1
"332","Federico Beauty Institute",0.564102564102564
"333","Fielding Graduate University",NA
"334","Five Branches University",NA
"335","Hair California Beauty Academy",1
"336","Foothill College",0.994764397905759
"337","Franciscan School of Theology",NA
"338","Fredrick and Charles Beauty College",0.689655172413793
"339","Fresno City College",1
"340","Fresno Pacific University",0.350515463917526
"341","Fuller Theological Seminary in California",NA
"342","Fullerton College",1
"343","Gavilan College",1
"344","Gemological Institute of America-Carlsbad",0.580645161290323
"345","Glendale Community College",1
"346","Glendale Career College",0.635593220338983
"347","Golden Gate University-San Francisco",NA
"348","Golden West College",1
"349","Graduate Theological Union",NA
"350","Grossmont College",0.994328922495274
"351","Salon Success Academy-San Bernardino",0.842105263157895
"352","Hartnell College",1
"353","Harvey Mudd College",0.206521739130435
"354","Heald College-Rancho Cordova",1
"355","Heald College-Fresno",0.944
"356","Heald College-San Jose",0.883720930232558
"357","Heald College-San Francisco",0.954545454545455
"358","Heald College-Concord",0.88785046728972
"359","Hilltop Beauty School",0.555555555555556
"360","Holy Names University",0.231404958677686
"361","Pacifica Graduate Institute",NA
"362","Humboldt State University",0.393462469733656
"363","Humphreys College-Stockton and Modesto Campuses",0.710144927536232
"364","Imperial Valley College",1
"365","Institute for Business and Technology",0.75
"366","Interior Designers Institute",NA
"367","Toni & Guy Hairdressing Academy-Santa Monica",0.640776699029126
