,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,poverty_rate,unemp_rate,CCSIZSET
313,112394,117700,1177,Cogswell College,Sunnyvale,CA,www.cogswell.edu,www.cogswell.edu/financial-aid/npcalc.htm,0,3,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.1163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0698,0.0,0.0233,0.0,0.0,457.0,0.4245,0.035,0.1466,0.1182,0.0044,0.0328,0.1204,0.0088,0.1094,0.3129,1,,22831.0,,,,,,19885.0,19461.0,23956.0,26243.0,27358.0,0.39899999999999997,0.8039,,0.4,,0.6292,0.2056,32875,364.9798938,0.876923077,0.454527273,,48500,0.61403507,5.400000095,3.029999971,4.0
318,112570,2110200,21102,Columbia College-Hollywood,Tarzana,CA,www.columbiacollege.edu,www.columbiacollege.edu/financial-aid/net-price-calculator,0,3,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,314.0,0.4745,0.1847,0.1847,0.0637,0.0,0.0,0.0255,0.0669,0.0,0.0924,1,,25614.0,,,,,,23237.0,26392.0,26562.0,29654.0,30642.0,0.4847,0.6364,,0.0,,0.7604,0.207,31000,344.16355,0.691428571,0.345104425,,PrivacySuppressed,0.5,9.630000114,3.980000019,5.0
342,113698,119600,1196,Dominican University of California,San Rafael,CA,www.dominican.edu,www.dominican.edu/admissions/aid/net-price-calculator-npc,0,3,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,480.0,570.0,480.0,590.0,480.0,580.0,525.0,535.0,530.0,20.0,25.0,20.0,26.0,20.0,26.0,7.0,10.0,23.0,23.0,23.0,9.0,1057.0,1057.0,0.0,0.0,0.0,0.0048,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0916,0.0,0.1133,0.0,0.0,0.0193,0.0,0.0048,0.0,0.0145,0.0,0.0843,0.0,0.0,0.0193,0.0,0.0,0.0,0.0,0.0819,0.3253,0.1446,0.0145,0.0,1567.0,0.32799999999999996,0.0421,0.2253,0.1698,0.0057,0.0102,0.0325,0.0179,0.1685,0.1774,1,,32053.0,,,,,,26060.0,27066.0,28871.0,32078.0,37491.0,0.3232,0.8566,,,,0.8516,0.2127,27000,299.75535,0.869636964,0.551756071,,51400,0.791498005,6.940000057,3.339999914,3.0
398,115755,114900,1149,Humboldt State University,Arcata,CA,www.humboldt.edu,www.csumentor.edu/finaid/pais/,0,3,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,450.0,580.0,440.0,560.0,,,515.0,500.0,,18.0,24.0,17.0,24.0,18.0,24.0,,,21.0,21.0,21.0,,1008.0,1008.0,0.0066,0.1482,0.0,0.0047,0.0246,0.0,0.0073,0.0,0.0047,0.0233,0.0,0.01,0.0,0.0,0.0538,0.0857,0.0,0.09300000000000001,0.0113,0.0,0.0379,0.0399,0.0113,0.0,0.0365,0.0,0.0678,0.0,0.0286,0.105,0.0,0.0,0.0,0.0,0.0983,0.0146,0.0645,0.0226,0.0,7748.0,0.5021,0.036000000000000004,0.2657,0.0329,0.0107,0.0026,0.06,0.0084,0.0816,0.0654,1,14715.0,,10579.0,12620.0,16412.0,20049.0,22171.0,,,,,,0.5162,0.7756,,0.3611,,0.605,0.1788,20250,224.8165125,0.779337232,0.4025199,,36200,0.48984468,10.92000008,4.519999981,4.0
399,115773,121200,1212,Humphreys College-Stockton and Modesto Campuses,Stockton,CA,www.humphreys.edu,www.humphreys.edu/index.php?option=com_content&view=article&id=20&Itemid=52,0,3,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2417,0.0,0.0,0.0,0.0,0.218,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1659,0.0,0.0,757.0,0.2602,0.1427,0.4491,0.07400000000000001,0.0066,0.0053,0.0,0.0,0.0621,0.469,1,,14877.0,,,,,,14280.0,13782.0,13926.0,21029.0,21029.0,0.755,0.6923,,0.7273,,0.922,0.6394,29168,323.8245944,0.494525547,0.880579104,,31300,0.521235526,15.26000023,6.739999771,4.0
412,116712,448400,4484,John F Kennedy University,Pleasant Hill,CA,www.jfku.edu,www.jfku.edu,0,3,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3868,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.0,0.0,0.0,0.0,0.0,0.3868,0.0,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.1887,0.0,0.0,271.0,0.4649,0.155,0.059000000000000004,0.0923,0.0406,0.0148,0.0664,0.0,0.107,0.7528,1,,,,,,,,,,,,,0.5127,,,,,0.8618,0.8208,25000,277.55125,0.612903226,,,39500,0.741176486,6.380000114,3.319999933,3.0
417,117140,121600,1216,University of La Verne,La Verne,CA,www.laverne.edu/,laverne.studentaidcalculator.com/survey.aspx,0,3,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,460.0,550.0,470.0,580.0,460.0,560.0,505.0,525.0,510.0,20.0,25.0,19.0,25.0,19.0,25.0,,,23.0,22.0,22.0,,1035.0,1035.0,0.0,0.0,0.0,0.0009,0.0389,0.0,0.0083,0.0,0.0435,0.0,0.0,0.0019,0.0704,0.0222,0.0167,0.1157,0.0,0.0185,0.0028,0.0,0.0,0.0,0.0028,0.0,0.0019,0.0,0.063,0.0,0.0343,0.1056,0.0,0.0,0.0,0.0,0.0157,0.0157,0.4093,0.012,0.0,5128.0,0.2607,0.0626,0.4836,0.054000000000000006,0.0031,0.0051,0.0322,0.0242,0.0745,0.2943,1,,20847.0,,,,,,16128.0,16494.0,20984.0,25957.0,28364.0,0.4647,0.8795,,0.0,,0.6816,0.4528,25000,277.55125,0.809102402,0.591302786,,52700,0.725077868,10.71000004,4.559999943,4.0
418,117168,2330500,23305,Laguna College of Art and Design,Laguna Beach,CA,www.lcad.edu,www.lcad.edu/netprice,0,3,2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,514.0,0.4728,0.0175,0.1576,0.177,0.0117,0.0078,0.0019,0.0311,0.1226,0.0934,1,,34762.0,,,,,,34916.0,36236.0,34163.0,34463.0,34096.0,0.4114,0.8421,,0.0,,0.7177,0.1946,29500,327.510475,0.82,0.612206122,,39800,0.466019422,6.380000114,3.150000095,3.0
469,118693,123600,1236,Menlo College,Atherton,CA,www.menlo.edu,tcc.noellevitz.com/(S(m0yg55vomw1vh010jkmaqqh0))/Menlo%20College/Freshman%20Students,0,3,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,432.0,532.0,450.0,565.0,425.0,513.0,482.0,508.0,469.0,19.0,25.0,18.0,24.0,18.0,26.0,,,22.0,21.0,22.0,,1001.0,1001.0,0.0,0.0,0.0,0.0,0.0935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914,0.0,0.0,742.0,0.3585,0.0566,0.2143,0.0714,0.004,0.0216,0.0768,0.128,0.0687,0.0404,1,,25918.0,,,,,,21734.0,20642.0,24611.0,31077.0,31729.0,0.3333,0.8155,,1.0,,0.591,0.0913,23250,258.1226625,0.783333333,0.383601887,,50600,0.688644707,7.519999981,3.589999914,5.0
520,120768,125500,1255,Pacific Oaks College,Pasadena,CA,www.pacificoaks.edu,www.pacificoaks.edu/Admissions/Costs_Financial_Aid/Tuition_and_Fees,0,3,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.0,0.0,0.0,0.9806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.2458,0.0892,0.5229,0.0361,0.0096,0.0072,0.012,0.0048,0.0723,0.8723,1,,,,,,,,,,,,,0.639,,,,,0.8636,0.8916,19375,215.1022188,0.74829932,,,39700,0.745901644,12.98999977,4.909999847,5.0
