,Class,Distance,Name
317,5,751335.3272759063,Middlesex County College
318,5,969213.4859233876,Delta College
319,5,1106498.1600555917,Tyler Junior College
320,5,1141918.9733714387,Onondaga Community College
321,5,1215294.401071683,Nashville State Community College
322,5,1287764.025332911,Mt Hood Community College
323,5,1431396.3270822435,Lorain County Community College
324,5,1443094.128689144,Prince George's Community College
325,5,1536293.6206089808,Somerset Community College
326,5,1549273.696013263,University of Wisconsin Colleges
327,5,1663754.5352446975,Northampton County Area Community College
328,5,1700525.6386307867,Schoolcraft College
329,5,1772520.825655104,Itawamba Community College
330,5,1895173.3376338268,Quinsigamond Community College
331,5,2080719.1711843594,Florence-Darlington Technical College
332,5,2135945.1946289875,Thomas Nelson Community College
333,5,2275800.7573352074,Cape Fear Community College
334,5,2302592.3152058064,New Mexico State University-Dona Ana
335,5,2322466.8071268047,Kalamazoo Valley Community College
336,5,2326712.0502785454,Horry-Georgetown Technical College
337,5,2388327.0489867735,Washtenaw Community College
338,5,2610810.14257574,Chattanooga State Community College
339,5,2698977.1362091857,Holmes Community College
340,5,2718789.8276458317,Century College
341,5,2718789.8276459193,Century College
342,5,2761936.555079296,Jones County Junior College
343,5,2806255.78861673,McLennan Community College
344,5,3002254.606742498,Piedmont Technical College
345,6,0.0,Northwest-Shoals Community College
346,6,99105.40522082025,Anoka-Ramsey Community College
347,6,100880.01990142447,Davidson County Community College
348,6,112594.81092115381,Gloucester County College
349,6,143379.23324304787,Arapahoe Community College
350,6,146616.5791980794,Pierce College at Fort Steilacoom
351,6,316059.65676586167,Dutchess Community College
352,6,334902.34358369285,Hennepin Technical College
353,6,397450.59284975345,Rose State College
354,6,402892.3202680127,Southwest Texas Junior College
355,6,455187.5117771531,Moberly Area Community College
356,6,489073.7631249757,Maysville Community and Technical College
357,6,498414.8184539701,Southcentral Kentucky Community and Technical College
358,6,534899.4936454231,Jefferson College
359,6,561465.6822126074,Southeast Kentucky Community and Technical College
360,6,568066.5860665542,Community College of Aurora
361,7,0.0,GateWay Community College
362,7,56081.14858784465,Leeward Community College
363,7,97112.16719995179,Mineral Area College
364,7,100552.51505957083,Gateway Community and Technical College
365,7,102109.33588140113,Aims Community College
366,7,152616.92695462157,Bucks County Community College
367,7,183612.90845059277,National Park Community College
368,7,199655.03261768536,Allegany College of Maryland
369,7,258523.47446778143,Everett Community College
370,7,297874.63944103644,Hazard Community and Technical College
371,7,370154.6674894437,Bainbridge State College
372,7,390634.43760616635,Northern Oklahoma College
373,7,409074.52448463626,Owensboro Community and Technical College
374,7,417119.6765187691,Community College of Vermont
375,7,422460.9924168731,Central Ohio Technical College
376,7,449931.051064775,Hopkinsville Community College
377,7,462186.59396374976,Columbia State Community College
378,7,498844.561019219,Chippewa Valley Technical College
379,7,519460.9115735049,Western Iowa Tech Community College
380,7,522730.1770930969,Rochester Community and Technical College
381,7,752961.8626637184,Ashland Community and Technical College
382,7,756487.8593576127,Delaware Technical Community College-Stanton/Wilmington
383,7,862394.0923727391,Walla Walla Community College
384,7,901679.1751925691,Mount Wachusett Community College
385,7,920302.1618842797,Three Rivers Community College
