"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Industrial Management Training Institute",415057,26549,26544,24646,0.887,7389,82.03304745,0.662983425,0.793813402,49100,0.669565201,0.936170212765957
"Institute for Business and Technology",115931,22546,22279,22378,0.9957,8023,89.07174715,0.422572178,0.584291954,35500,0.50420171,0.75
"Institute of Audio Research",191834,19031,18490,18926,0.6348,9500,105.469475,0.476907631,0.548346639,29600,0.452112675,0.646884272997033
"Institute of Technology Inc",431141,24640,24471,24966,0.6304,9500,105.469475,0.324592769,0.668510204,26600,0.439855665,0.86280487804878
"Institute of Technology Inc",431141,24640,24471,24966,0.6304,9500,105.469475,0.324592769,0.668510204,26600,0.439855665,0.719298245614035
"Interactive College of Technology-Chamblee",138655,11605,11134,12353,0.63,7287,80.90063835,0.559615385,0.678063636,22700,0.364856988,0.663366336633663
"Interactive College of Technology-Gainesville",442435,12667,11945,14288,0.5714,7287,80.90063835,0.559615385,0.8250275,22700,0.364856988,0.736842105263158
"Interactive College of Technology-Morrow",138664,13075,12002,13630,0.7778,7287,80.90063835,0.559615385,0.6,22700,0.364856988,0.625
"Interactive College of Technology-Newport",367103,12554,12119,13178,0.7143,7287,80.90063835,0.559615385,0.716653333,22700,0.364856988,0.714285714285714
"InterCoast Career Institute-South Portland",450678,24704,23077,25854,0.8526,12125,134.6123563,0.317040359,0.78456881,23300,0.322055131,0.599206349206349
"InterCoast Colleges-Carson",450669,23521,23107,25907,0.7206,12125,134.6123563,0.317040359,0.672624808,23300,0.322055131,0.886363636363636
"InterCoast Colleges-Elk Grove",457208,24585,23773,27225,0.7097,12125,134.6123563,0.317040359,0.7757,23300,0.322055131,0.764705882352941
"InterCoast Colleges-Orange",366289,22911,21743,25726,0.8272,12125,134.6123563,0.317040359,0.706021902,23300,0.322055131,0.727272727272727
"InterCoast Colleges-Riverside",442888,23418,22794,24088,0.7869,12125,134.6123563,0.317040359,0.7651,23300,0.322055131,0.645161290322581
"InterCoast Colleges-West Covina",443571,21392,20983,22978,0.7703,12125,134.6123563,0.317040359,0.717124571,23300,0.322055131,0.824561403508772
"Interface College-Spokane",235495,9212,9110,7496,0.7857,9500,105.469475,0.509090909,0.691736842,27900,0.522388041,0.75
"International Academy",134714,15411,15250,15786,0.9016,9500,105.469475,0.351758794,0.667995753,17600,0.223684207,0.898305084745763
"International Air and Hospitality Academy",235501,15827,15371,15375,0.8626,6365,70.66454825,0.70989011,0.849264354,26200,0.408163279,0.608187134502924
"International Business College-El Paso",225779,17890,17476,18223,0.8283,9500,105.469475,0.350289017,0.677755371,19400,0.232804239,0.530612244897959
"International Business College-El Paso",225779,17890,17476,18223,0.8283,9500,105.469475,0.350289017,0.677755371,19400,0.232804239,0.725
"International Salon and Spa Academy",127316,13448,13001,12887,0.7619,6333,70.30928265,0.468227425,0.688968504,15100,0.255952388,0.6875
"Iowa School of Beauty-Des Moines",153597,10760,10060,11718,0.6667,11862.5,131.6980681,0.434782609,0.569254615,17900,0.25,0.65
"Jean Madeline Aveda Institute",414540,12940,11849,13132,0.8023,9500,105.469475,0.709812109,0.737156057,27700,0.388888896,0.371681415929204
"Jna Institute of Culinary Arts",419341,21061,20706,21433,0.6667,5455,60.56168275,0.505617978,0.85456,21600,0.297297299,0.75
"Josef's School of Hair Design Inc-Fargo Downtown",200165,10724,10255,9102,0.5238,15515,172.2483058,0.846153846,0.547617857,17200,0.266187042,0.742857142857143
"Josef's School of Hair Design Inc-Grand Forks",200110,11747,10107,13365,0.9,11000,122.12255,0.826666667,0.684636923,23100,0.268292695,0.608695652173913
"Joseph's College",181190,12394,12351,12188,0.6304,17235,191.3438318,0.498896247,0.56502695,15400,0.159544155,0.913461538461538
"Kaplan Career Institute-Franklin Mills",211617,21478,21088,22470,0.7987,9500,105.469475,0.234992189,0.601202339,38900,0.459486157,0.835051546391753
"Kaplan Career Institute-Harrisburg",251075,21396,20887,21903,0.8,9500,105.469475,0.277942925,0.61696151,26300,0.335966736,0.756578947368421
"Kaplan Career Institute-Nashville",246202,22286,22196,21570,0.7727,9500,105.469475,0.303684879,0.626070435,38700,0.348235279,0.861702127659574
"Kaplan Career Institute-Philadelphia",214254,22161,22097,22892,0.5448,9500,105.469475,0.277942925,0.557632539,26300,0.335966736,0.95578231292517
"Kaplan College-Bakersfield",447102,22739,22545,22870,0.8447,9495,105.4139648,0.301850424,0.717867262,26900,0.361976355,0.865671641791045
"Kaplan College-Beaumont",440323,21772,21077,21760,0.8868,9500,105.469475,0.268260583,0.609350363,20400,0.304410487,0.761194029850746
"Kaplan College-Brownsville",443827,20684,20846,17230,0.896,9500,105.469475,0.269503546,0.6958375,23400,0.330979288,0.918918918918919
"Kaplan College-Chula Vista",458186,22140,21837,21377,0.7821,9500,105.469475,0.623622047,0.8072,35300,0.629310369,0.74468085106383
"Kaplan College-Corpus Christi",443836,23648,23433,24064,0.7857,9496,105.4250668,0.26588785,0.744648114,23600,0.32051599,0.796610169491525
"Kaplan College-Dallas",382896,21188,20651,22143,0.6531,9413,104.5035967,0.331775701,0.687040387,46900,0.360721439,0.761363636363636
"Kaplan College-El Paso",246266,20493,19924,22172,0.8111,9500,105.469475,0.269503546,0.804368116,23400,0.330979288,0.772727272727273
"Kaplan College-Fort Worth",445328,20847,20763,21414,0.7544,9496,105.4250668,0.26588785,0.669904938,23600,0.32051599,0.907894736842105
"Kaplan College-Fresno",447120,23863,23872,23559,0.8659,9500,105.469475,0.378650904,0.749793551,20700,0.376325101,0.728813559322034
"Kaplan College-Hammond",152415,21611,21226,21393,0.7755,9500,105.469475,0.301349325,0.536828642,22700,0.298538625,0.817307692307692
"Kaplan College-Indianapolis",458283,23478,23088,23552,0.7879,9500,105.469475,0.301349325,0.7149,23900,0.408352673,0.843023255813954
"Kaplan College-Jacksonville",458715,23189,23032,23140,0.7407,9500,105.469475,0.277942925,0.7083,26300,0.335966736,0.5
"Kaplan College-Laredo",440332,19423,19164,20237,0.7636,9500,105.469475,0.268260583,0.692271875,20400,0.304410487,0.91970802919708
"Kaplan College-Las Vegas",374875,22346,21690,22656,0.753,9500,105.469475,0.41031746,0.696899175,26700,0.443123937,0.69811320754717
"Kaplan College-Lubbock",445346,22290,22225,22011,0.6806,9500,105.469475,0.268260583,0.634694894,20400,0.304410487,0.925925925925926
"Kaplan College-McAllen",227836,20534,20449,20687,0.7901,9496,105.4250668,0.26588785,0.760783477,23600,0.32051599,0.931372549019608
"Kaplan College-Modesto",366960,24145,23920,22772,0.8333,9500,105.469475,0.378650904,0.766132856,20700,0.376325101,0.78125
"Kaplan College-North Hollywood",118967,22315,21682,22788,0.824,9500,105.469475,0.510484928,0.825315985,35000,0.631158471,0.704918032786885
"Kaplan College-Palm Springs",447634,22475,22383,22695,0.8211,9500,105.469475,0.501977587,0.797042532,32600,0.463690877,0.837837837837838
"Kaplan College-Riverside",432302,22360,22099,22958,0.8684,9500,105.469475,0.510484928,0.791853956,35000,0.631158471,0.735294117647059
"Kaplan College-Sacramento",118259,25313,25185,25285,0.8391,9495,105.4139648,0.301850424,0.665444388,26900,0.361976355,0.891891891891892
"Kaplan College-San Antonio-Ingram",431886,21540,21294,21452,0.8456,9500,105.469475,0.268260583,0.715186964,20400,0.304410487,0.809090909090909
"Kaplan College-San Antonio-San Pedro",364955,22821,22605,23166,0.9006,9496,105.4250668,0.26588785,0.764051134,23600,0.32051599,0.865168539325843
"Kaplan College-San Diego",118277,24723,23917,24235,0.8357,9500,105.469475,0.623622047,0.846619757,35300,0.629310369,0.6
"Kaplan College-Vista",118286,25211,25040,24767,0.8846,9500,105.469475,0.501977587,0.827989902,32600,0.463690877,0.833333333333333
"Kay Harvey Academy of Hair Design",166294,12034,11855,13968,0.7692,5900,65.502095,0.541176471,0.828885561,18600,0.27868852,0.915254237288136
"Kenneth Shuler School of Cosmetology-North Augusta",218159,12604,12450,10550,0.5455,8966,99.5409803,0.298013245,0.547822609,17200,0.242857143,0.684210526315789
"Kenneth Shuler School of Cosmetology-Spartanburg",445841,12777,11765,12855,0.875,9500,105.469475,0.36409396,0.620147287,14600,0.165094346,0.555555555555556
"Kenneth Shuler School of Cosmetology and Nails-Columbia",218195,15871,15829,13577,0.8,9500,105.469475,0.36409396,0.596257143,14600,0.165094346,0.846153846153846
"Keystone Technical Institute",210483,14991,14822,14170,0.7111,9500,105.469475,0.50148368,0.64062093,24200,0.346938789,0.64
"Kittanning Beauty School",213330,18403,17497,19838,1,9500,105.469475,0.430232558,0.6852,14300,0.170731708,0.666666666666667
"L'Ecole Culinaire-Memphis",456940,20226,19359,20534,0.5745,24688,274.0874104,0.271850512,0.5752,28400,0.418128669,0.7
"L'Ecole Culinaire-St Louis",445726,18617,17523,17685,0.3714,22155,245.9659178,0.306055646,0.466852992,34200,0.36954087,0.714285714285714
"La'James International College",180771,12550,10798,12400,0.6923,12835,142.4948118,0.5,0.639573256,16000,0.189999998,0.642857142857143
"La Baron Hairdressing Academy-Brockton",166319,16178,15286,17434,0.8462,9477,105.2141279,0.642857143,0.959731544,17600,0.333333343,0.584615384615385
"La Belle Beauty Academy",383163,15452,15452,15452,0.8,7150,79.3796575,0.725490196,0.29904081,12500,0.179347828,0.83695652173913
"La James College of Hairstyling and Cosmetology",153773,11157,10739,12044,0.8769,8000,88.8164,0.657342657,0.850748259,18900,0.2265625,0.769230769230769
"La James International College-Cedar Falls",153746,14512,14716,15571,0.6452,12000,133.2246,0.608695652,0.7389,18200,0.32432431,0.96
"La James International College-Ft Dodge",153782,14782,14137,14383,0.8333,13477.5,149.6278789,0.555555556,0.6856375,19100,0.30107528,0.621621621621622
"La James International College-Iowa City",154341,14431,13776,14319,0.7188,12000,133.2246,0.696551724,0.71785,23600,0.398373991,0.6
"La James International College-Johnston",153764,15060,14736,15007,0.75,12000,133.2246,0.632727273,0.652823316,18700,0.393501818,0.682926829268293
"Lancaster Beauty School",117238,13466,13094,15179,0.75,6970,77.3812885,0.446808511,0.709433784,15700,0.216783211,0.8125
"Lancaster School of Cosmetology",213455,12992,12118,12400,0.75,3666,40.7001153,0.70292887,0.735877358,16600,0.34394905,0.540983606557377
"Le Cordon Bleu College of Culinary Arts-Atlanta",443623,15249,14269,15796,0.7633,15042,166.9970361,0.530003352,0.533092308,28900,0.479654759,0.668918918918919
"Le Cordon Bleu College of Culinary Arts-Austin",364973,16800,15367,16968,0.6833,11250,124.8980625,0.355487089,0.605747865,29000,0.513698637,0.542553191489362
"Le Cordon Bleu College of Culinary Arts-Cambridge",452054,19611,18536,19140,0.752,11640,129.227862,0.455161419,0.48836881,26000,0.470432937,0.62
"Le Cordon Bleu College of Culinary Arts-Chicago",144467,16251,15197,16909,0.6582,15042,166.9970361,0.506503443,0.540061326,32800,0.54554081,0.651515151515151
"Le Cordon Bleu College of Culinary Arts-Dallas",452063,16062,14999,16220,0.6802,11250,124.8980625,0.355487089,0.468129245,29000,0.513698637,0.589928057553957
"Le Cordon Bleu College of Culinary Arts-Las Vegas",445115,16210,15601,16230,0.5362,11640,129.227862,0.455161419,0.56187619,32900,0.522381544,0.647540983606557
"Le Cordon Bleu College of Culinary Arts-Miami",446835,16227,15702,15839,0.7445,11640,129.227862,0.455161419,0.629690499,26000,0.470432937,0.721739130434783
"Le Cordon Bleu College of Culinary Arts-Minneapolis",446844,16598,14793,16416,0.7206,15042,166.9970361,0.530003352,0.629758478,28900,0.479654759,0.556521739130435
"Le Cordon Bleu College of Culinary Arts-Orlando",442231,16796,15669,16950,0.6684,29375,326.1227188,0.388268499,0.539180251,27800,0.466301501,0.626506024096386
"Le Cordon Bleu College of Culinary Arts-Pasadena",423980,16401,15099,16670,0.6835,9500,105.469475,0.470295734,0.655305048,34100,0.546718597,0.602605863192182
"Le Cordon Bleu College of Culinary Arts-Portland",375841,16766,15829,16801,0.6905,15042,166.9970361,0.530003352,0.56289491,28900,0.479654759,0.714285714285714
"Le Cordon Bleu College of Culinary Arts-Sacramento",452036,18930,17922,19134,0.7439,11250,124.8980625,0.355487089,0.759970462,29000,0.513698637,0.619565217391304
"Le Cordon Bleu College of Culinary Arts-San Francisco",111009,18868,17666,16906,0.7944,12136,134.7344788,0.574247144,0.572647423,32800,0.58801496,0.573333333333333
"Le Cordon Bleu College of Culinary Arts-Seattle",452045,20047,18946,20608,0.7748,11250,124.8980625,0.355487089,0.712235879,29000,0.513698637,0.617486338797814
"Le Cordon Bleu College of Culinary Arts-St Louis",456302,20224,19003,20263,0.6935,11250,124.8980625,0.355487089,0.730783654,29000,0.513698637,0.605042016806723
"Levittown Beauty Academy",213552,14324,13435,16314,0.9091,8028,89.1272574,0.56,0.931813636,17400,0.265306115,0.717948717948718
"Liceo de Arte y Tecnologia",242820,11475,11456,11387,0.8012,3500,38.857175,0.598360656,0.29391857,19900,0.267605633,0.771428571428571
"Lincoln College of Technology-Columbia",163028,23847,22921,23146,0.75,12017,133.4133349,0.437313433,0.528364066,36600,0.604382932,0.575
"Lincoln College of Technology-Denver",126951,17921,17119,17693,0.7458,12473.5,138.4814207,0.42204644,0.38605625,35800,0.584333539,0.641975308641975
"Lincoln College of Technology-Grand Prairie",226277,18338,16877,18698,0.8162,12473.5,138.4814207,0.42204644,0.515664278,35000,0.578613281,0.56989247311828
"Lincoln College of Technology-Indianapolis",151661,17174,15167,15870,0.6845,12473.5,138.4814207,0.42204644,0.422666876,31200,0.564522445,0.451263537906137
"Lincoln College of Technology-Melrose Park",146700,11772,11061,11846,0.6901,11813,131.1485167,0.488564799,0.531512525,30600,0.463302761,0.714285714285714
"Lincoln College of Technology-Nashville",221148,14949,13543,14775,0.7094,12473.5,138.4814207,0.42204644,0.580061186,38900,0.647225142,0.5311004784689
"Lincoln Technical Institute-Allentown",213570,19304,18673,18997,0.7279,12473.5,138.4814207,0.42204644,0.599386239,39200,0.529327631,0.645833333333333
"Lincoln Technical Institute-Brockton",425889,14836,14334,14813,0.8,9504,105.5138832,0.390612133,0.522464768,27500,0.41397205,0.721854304635762
"Lincoln Technical Institute-Center City Philadelphia",442046,17748,17479,18742,0.5445,9504,105.5138832,0.390612133,0.540413664,36200,0.425328821,0.886503067484663
"Lincoln Technical Institute-East Windsor",129181,17544,16459,16353,0.8321,11813,131.1485167,0.488564799,0.630192853,37300,0.650826454,0.521008403361345
"Lincoln Technical Institute-Edison",184056,21894,21384,21664,0.6737,9504,105.5138832,0.390612133,0.672804116,36200,0.425328821,0.675
"Lincoln Technical Institute-Fern Park",439437,19436,18975,20626,0.6667,11186,124.1875313,0.404283802,0.730002662,25700,0.478260875,0.759259259259259
"Lincoln Technical Institute-Hartford",410788,27662,26636,27363,0.7273,19289.5,214.1529935,0.52780807,0.57419894,30100,0.526570022,0.549450549450549
"Lincoln Technical Institute-Lincoln",433101,22433,21681,22250,0.7143,9504,105.5138832,0.390612133,0.711143614,27500,0.41397205,0.704081632653061
"Lincoln Technical Institute-Lowell",440952,15316,15093,15809,0.8276,9504,105.5138832,0.390612133,0.506389744,31200,0.473020315,0.740740740740741
"Lincoln Technical Institute-Mahwah",420343,12750,11126,12127,0.8276,12473.5,138.4814207,0.42204644,0.626254497,37300,0.55259937,0.450643776824034
"Lincoln Technical Institute-Moorestown",374574,23509,22542,24199,0.6396,9504,105.5138832,0.390612133,0.710065961,36200,0.425328821,0.62962962962963
"Lincoln Technical Institute-New Britain",129923,17949,16383,17776,0.7872,11813,131.1485167,0.488564799,0.583327083,39400,0.666235447,0.478723404255319
"Lincoln Technical Institute-Northeast Philadelphia",442037,18497,18078,18230,0.7931,9504,105.5138832,0.390612133,0.641545394,36200,0.425328821,0.75
"Lincoln Technical Institute-Paramus",442073,22251,21437,23089,0.7478,9504,105.5138832,0.390612133,0.672382342,36200,0.425328821,0.609375
"Lincoln Technical Institute-Philadelphia",213589,15128,14300,14955,0.5528,11813,131.1485167,0.488564799,0.399830722,29100,0.497237563,0.687242798353909
"Lincoln Technical Institute-Shelton",445911,17966,16890,17484,0.6321,11813,131.1485167,0.488564799,0.576552601,39400,0.666235447,0.559322033898305
"Lincoln Technical Institute-Somerville",165556,15654,14995,15573,0.7288,9504,105.5138832,0.390612133,0.534474061,31200,0.473020315,0.663265306122449
"Lincoln Technical Institute-South Plainfield",184427,14387,13480,13302,0.7931,12473.5,138.4814207,0.42204644,0.662596933,42700,0.685950398,0.63265306122449
"Lincoln Technical Institute-Union",185396,15421,14402,15326,0.8015,12473.5,138.4814207,0.42204644,0.575730367,37300,0.55259937,0.609756097560976
"Lincoln Technical Institute-Whitestone",449320,18003,16879,17949,0.8053,12473.5,138.4814207,0.42204644,0.716822691,37300,0.55259937,0.592391304347826
"Loraines Academy Inc",135337,19036,18923,18851,0.4444,6333,70.30928265,0.336134454,0.4,15600,0.320512831,0.769230769230769
"Los Angeles ORT College-Los Angeles Campus",368780,18594,18218,21665,0.6386,6867,76.23777735,0.705752212,0.812238009,22900,0.343262404,0.890965732087227
"Lucas Marc Academy",234924,11906,10672,11022,0.8286,5682,63.0818481,0.68115942,0.545477273,17700,0.264705896,0.585714285714286
"Mac Daniels Beauty School",146807,15540,14096,16096,1,9500,105.469475,0.666666667,0.8947,14900,0.275000006,0.5
"Magnolia College of Cosmetology",176390,12334,12313,13354,0.617,10500,116.571525,0.384615385,0.519530469,18500,0.160377353,0.980392156862745
"Magnolia School",210784,17730,16286,19769,0.95,12280,136.333174,0.55721393,0.721074737,15700,0.202898547,0.589928057553957
"Marian Health Careers Center-Los Angeles Campus",411684,19794,19098,20053,0.5833,15680,174.080144,0.847161572,0.337917241,47500,0.767567575,0.588235294117647
"Marian Health Careers Center-Van Nuys Campus",475282,23766,22515,25302,0.5455,15680,174.080144,0.847161572,0.27471978,47500,0.767567575,0.6
"Marinello Schools of Beauty-Burbank",114071,14776,14339,15269,0.7188,10481,116.3605861,0.58101473,0.704025,12600,0.377593368,0.755244755244755
"Marinello Schools of Beauty-Hemet",113397,15330,14946,15657,0.6075,9960,110.576418,0.264615385,0.555444237,13200,0.185567006,0.776266996291718
"Marinello Schools of Beauty-Las Vegas",182209,15041,14581,15365,0.6098,9873,109.6105397,0.295503212,0.4742086,20100,0.340823978,0.64957264957265
"Marinello Schools of Beauty-Los Angeles",118356,15689,15281,16024,0.6674,10555,117.1821378,0.350995234,0.538337017,14000,0.256166995,0.772757475083056
"Marinello Schools of Beauty-Manhattan",154970,14065,13455,14367,0.56,12499,138.764523,0.452830189,0.609532381,22200,0.238805965,0.666666666666667
"Marinello Schools of Beauty-Meriden",130129,15469,15278,15268,0.5556,9833,109.1664577,0.439453125,0.549989286,19900,0.407407403,0.841584158415842
"Marinello Schools of Beauty-Moreno Valley",114080,16017,15754,15232,0.5306,10951,121.5785496,0.313868613,0.659799087,11700,0.212121218,0.770588235294118
"Marinello Schools of Beauty-Provo",380401,14788,13348,14461,0.5556,11834,131.3816597,0.805084746,0.756870718,12500,0.224489793,0.5
"Marinello Schools of Beauty-Sacramento",417132,16059,15788,16196,0.4955,11286.5,125.3032873,0.352445194,0.549376274,15300,0.306397319,0.775903614457831
"Marinello Schools of Beauty-San Francisco",118921,16537,16228,16896,0.6222,10221.5,113.4796041,0.407322654,0.524717582,25700,0.40336135,0.817934782608696
"Marinello Schools of Beauty-Topeka",439589,12812,12412,13065,0.6667,10666,118.4144653,0.47848537,0.609203448,18800,0.330798477,0.777777777777778
"MarJon School of Beauty ltd-Tonawanda",192828,11673,11318,16410,0.6667,7187.5,79.79598438,0.356435644,0.851343243,19000,0.285714298,0.930232558139535
"Mech-Tech College",414461,9991,9792,10700,0.6998,4156,46.1401198,0.897435897,0.604203871,18900,0.224401921,0.834799608993157
"Med-Assist School of Hawaii Inc",141848,21761,20775,22229,0.775,7917,87.89492985,0.626984127,0.695193048,32100,0.492957741,0.622641509433962
"Medtech Institute",131742,18772,18765,21130,0.5593,9236,102.5385338,0.420071048,0.676637158,27400,0.47333771,0.997282608695652
"Medvance Institute-West Palm",442745,19646,19296,19399,0.6832,9500,105.469475,0.477781605,0.589649104,23200,0.436151087,0.826086956521739
"Metro Business College-Cape Girardeau",178110,10187,9944,10498,0.2174,11416.5,126.7465538,0.376657825,0.775296629,21500,0.240793198,0.92
"MIAT College of Technology",169655,13614,11583,13128,0.736,16213,179.9975367,0.701429773,0.81622506,41600,0.613065302,0.455497382198953
"Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School",182953,18848,16936,18098,0.9474,9833,109.1664577,0.701863354,0.798878161,22200,0.322222233,0.349514563106796
"Michigan College of Beauty-Troy",381370,16970,16908,17006,0.7556,6333,70.30928265,0.594470046,0.840712702,15900,0.293515354,0.966216216216216
"Midway Paris Beauty School",193186,18687,18452,18043,0.75,6222,69.0769551,0.561151079,0.472504945,16800,0.353846163,0.924528301886792
"Midwest Technical Institute-East Peoria",458265,25008,24347,24802,0.8557,9500,105.469475,0.474501109,0.729288479,32700,0.421052635,0.578616352201258
"Milan Institute-Bakersfield",457077,15558,15298,14465,0.6092,9500,105.469475,0.351691581,0.5153,16100,0.249343827,0.708108108108108
"Milan Institute-Clovis",448895,15769,15454,15579,0.6667,9500,105.469475,0.351691581,0.596671174,16100,0.249343827,0.740196078431373
"Milan Institute-San Antonio Ingram",437778,17268,17139,17343,0.5692,9500,105.469475,0.351691581,0.505791269,16100,0.249343827,0.778571428571429
"Milan Institute-Sparks",443669,19944,19572,19876,0.7477,9500,105.469475,0.374396135,0.679345332,23400,0.394390881,0.694117647058824
"Milan Institute of Cosmetology-Amarillo",385549,16683,16559,16388,0.4561,14252,158.2264166,0.291276491,0.534927711,18900,0.228511527,0.826446280991736
"Milan Institute of Cosmetology-Fairfield",454546,15936,15594,17259,0.5789,14252,158.2264166,0.291276491,0.465922273,18900,0.228511527,0.862068965517241
"Milan Institute of Cosmetology-Reno",454555,15586,14964,17037,0.614,14252,158.2264166,0.291276491,0.515391017,18900,0.228511527,0.8
"Milan Institute of Cosmetology-San Antonio Military",449904,15986,15845,16097,0.3538,14252,158.2264166,0.291276491,0.439126547,18900,0.228511527,0.91025641025641
"Milan Institute of Cosmetology-Visalia",454573,16651,16631,16552,0.5417,14252,158.2264166,0.291276491,0.620261519,18900,0.228511527,0.8046875
"Mildred Elley-Pittsfield Campus",425986,16047,15004,17747,0.6852,18130,201.2801665,0.375379939,0.59221068,22100,0.355677158,0.68
"Mildred Elley School-Albany Campus",193201,15610,15528,14360,0.5302,18130,201.2801665,0.375379939,0.432411486,22100,0.355677158,0.851239669421488
"Miller-Motte College-Cary",449117,20476,20291,24929,0.5625,20000,222.041,0.358752166,0.628233333,21000,0.413631022,0.96
"Miller-Motte Technical College-Madison",448664,20881,20836,25579,0.5825,22091,245.2553866,0.400491865,0.710813253,22800,0.352101803,0.990384615384615
"Mitchell's Hair Styling Academy-Raleigh",413972,8943,8677,12085,0.8696,5500,61.061275,0.625766871,0.899045192,20700,0.375999987,0.928571428571429
"Model College of Hair Design",174321,11957,11861,11933,0.8636,7139,79.25753495,0.766871166,0.724558683,18000,0.311688304,0.45679012345679
"Modern Beauty Academy",118958,10672,10250,11420,1,5700,63.281685,0.552238806,0.697690698,15900,0.287671238,0.695652173913043
"Modern Technology School",371928,15798,15276,16047,0.8571,12416,137.8430528,0.774038462,0.96385,35100,0.717391312,0.507692307692308
"Modern Welding School",193265,12783,11999,13880,0.9565,9449.5,104.9088215,0.613861386,0.877215789,28900,0.591836751,0.786885245901639
"Moler-Pickens Beauty Academy",250902,11285,11138,11689,0.6333,8002,88.8386041,0.391891892,0.9512,19100,0.189189196,0.75
"Montgomery Beauty School",163408,12738,12037,13344,0.5385,9155,101.6392678,0.573333333,0.508222951,17200,0.24848485,0.573643410852713
"Motoring Technical Training Institute",414124,12490,12382,17141,0.8662,8550,94.9225275,0.616336634,0.916309251,27900,0.440909088,0.977272727272727
"Mr John's School of Cosmetology Esthetics & Nails-Decatur",147439,10516,10201,10384,0.6667,11892.5,132.0311296,0.411111111,0.559650459,19400,0.222222224,0.6875
"Mr Leon's School of Hair Design-Moscow",142416,8980,8688,8688,0.75,14922,165.6647901,0.350877193,0.866646667,14000,0.17741935,0.842105263157895
"MTI Business College Inc",118189,18103,18103,18103,0.7519,9500,105.469475,0.462555066,0.842089474,25200,0.355263144,0.857142857142857
"MTI College",118198,12836,12575,12037,0.6727,10247.5,113.7682574,0.620829943,0.597106889,38500,0.568822563,0.623529411764706
"NASCAR Technical Institute",442611,21294,19466,20349,0.6928,18363,203.8669442,0.632117031,0.539419373,43400,0.677919328,0.425454545454545
"Nashville College of Medical Careers",221157,22257,22202,22841,0.7778,8800,97.69804,0.542857143,0.67925283,23200,0.345276862,0.923076923076923
"National Academy of Beauty Arts-St Louis",178484,10242,10265,9482,0.7596,9233,102.5052277,0.617250674,0.68121745,18700,0.252669036,0.970588235294118
"National Aviation Academy of New England",165635,16091,15314,15564,0.6429,20000,222.041,0.640776699,0.571919557,50900,0.720848083,0.585526315789474
"National Aviation Academy of Tampa Bay",378956,16346,15592,16563,0.6809,22778,252.8824949,0.563055062,0.692807513,46600,0.736024857,0.67479674796748
"National Beauty College",440077,16027,15813,16042,0.4286,5770.5,64.06437953,0.405797101,0.5874975,15800,0.272727281,0.75
"National Beauty College",440077,16027,15813,16042,0.4286,5770.5,64.06437953,0.405797101,0.5874975,15800,0.272727281,0.863636363636364
"National Beauty College",440077,16027,15813,16042,0.4286,5770.5,64.06437953,0.405797101,0.5874975,15800,0.272727281,0.7
"National Holistic Institute",119553,23829,23587,23844,0.8214,9500,105.469475,0.721398305,0.730059509,27200,0.441717803,0.767955801104972
"National Latino Education Institute",148955,12154,11280,11764,0.7692,2762.5,30.66941313,0.756756757,0.711346392,26500,0.472222209,0.580645161290323
"Nationwide Beauty Academy",405021,15228,14508,15339,0.8421,9900,109.910295,0.746835443,0.809542857,19600,0.418749988,0.544117647058823
"Neosho Beauty College",178527,8959,8209,9718,0.7692,7917,87.89492985,0.490909091,0.714292857,11600,0.14705883,0.695652173913043
"Nevada Career Institute",414939,20576,20302,20647,0.8049,11542.5,128.1454121,0.655440415,0.846147337,27800,0.532731354,0.813793103448276
"New Castle Beauty Academy",367431,17405,16436,18361,0.7727,9500,105.469475,0.430232558,0.8378,14300,0.170731708,0.666666666666667
"New Castle School of Trades",214290,9551,9457,9784,0.7442,9651,107.1458846,0.56042654,0.701675753,31100,0.521042109,0.823529411764706
"New England School of Photography",167224,43898,40934,44456,0.75,12000,133.2246,0.798319328,0.548390323,29300,0.365853667,0.333333333333333
"New Professions Technical Institute",434469,18974,18974,18982,0.8,8576,95.2111808,0.625899281,0.8382,17800,0.401244164,0.933333333333333
"New York Automotive and Diesel Institute",440262,20149,19897,20478,0.7069,9500,105.469475,0.427145709,0.588369903,34800,0.429555893,0.790849673202614
"New York Conservatory for Dramatic Arts",421841,40545,37120,41009,0.6627,12000,133.2246,0.773279352,0.502360563,27800,0.428571433,0.421875
"New York Institute of Massage Inc",431071,17034,16991,17082,0.4375,10207,113.3186244,0.781456954,0.922101299,20700,0.396039605,0.727272727272727
"Newberry School of Beauty",119845,9167,8448,8904,0.7917,5042,55.9765361,0.755319149,0.707608772,23300,0.354037255,0.607142857142857
"North-West College-Glendale",372028,15352,15091,16094,0.7679,7818,86.7958269,0.683035714,0.848117215,26800,0.446069479,0.839506172839506
"North-West College-Pasadena",120087,18434,17714,18814,0.7627,7805,86.65150025,0.661458333,0.6853576,26800,0.477611929,0.635593220338983
"North-West College-Pomona",120069,20043,19882,20508,0.8,8023.5,89.07729818,0.596209913,0.729363148,21700,0.516616285,0.827027027027027
