"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Black Hills Beauty College",219037,8363,7479,11458,0.8529,11790,130.8931695,0.7,0.739441212,17500,0.208791211,0.777777777777778
"Blue Cliff College-Alexandria",450128,20632,19868,24218,0.8521,9500,105.469475,0.338,0.493578541,24000,0.315789461,0.833333333333333
"Blue Cliff College-Fayetteville",450119,22034,21870,22792,0.7935,9500,105.469475,0.338,0.583333333,23800,0.253886014,0.855555555555556
"Blue Cliff College-Gulfport",441502,22733,22392,23372,0.8824,9500,105.469475,0.338,0.452367857,21900,0.361344546,0.694444444444444
"Blue Cliff College-Houma",450021,19096,17669,24069,0.2273,9500,105.469475,0.338,0.625,25400,0.377926409,0.786516853932584
"Blue Cliff College-Lafayette",439491,21471,21175,22236,0.1888,9500,105.469475,0.338,0.61974507,24000,0.315789461,0.850746268656716
"Blue Cliff College-Metairie",434821,18730,18600,22951,0.8108,9500,105.469475,0.338,0.707921782,25400,0.377926409,0.966386554621849
"Blue Cliff College-Shreveport",439482,22512,22268,25638,0.64,9500,105.469475,0.338,0.773809524,23800,0.253886014,0.934306569343066
"Branford Hall Career Institute-Albany Campus",448974,22448,22246,22493,0.8,9800,108.80009,0.496945683,0.692532039,29700,0.477781385,0.826086956521739
"Branford Hall Career Institute-Bohemia Campus",195933,19911,19088,19966,0.8324,9800,108.80009,0.496945683,0.655623796,29700,0.477781385,0.652694610778443
"Branford Hall Career Institute-Southington Campus",434520,26241,26004,26289,0.5902,9800,108.80009,0.496945683,0.605801573,29700,0.477781385,0.786516853932584
"Branford Hall Career Institute-Windsor Campus",430096,27851,27163,28548,0.7209,9800,108.80009,0.496945683,0.556892944,29700,0.477781385,0.754098360655738
"Bridgeport Hospital School of Nursing",128726,24405,23950,24650,0.9327,20000,222.041,0.879746835,0.976511268,66800,0.917910457,0.402985074626866
"Brittany Beauty School",449311,17025,16971,17816,0.8254,8075,89.64905375,0.52559727,0.696031611,21300,0.230769232,0.946564885496183
"Brittany Beauty School",449311,17025,16971,17816,0.8254,8075,89.64905375,0.52559727,0.696031611,21300,0.230769232,0.482993197278912
"Brittany Beauty School",189468,15302,14310,14743,0.825,8075,89.64905375,0.52559727,0.770940645,21300,0.230769232,0.946564885496183
"Brittany Beauty School",189468,15302,14310,14743,0.825,8075,89.64905375,0.52559727,0.770940645,21300,0.230769232,0.482993197278912
"Broken Arrow Beauty College-Broken Arrow",206880,10198,9536,12406,0.9655,9833,109.1664577,0.548717949,0.804882927,16600,0.193333328,0.769230769230769
"Broken Arrow Beauty College-Tulsa",448424,13870,13604,14608,0.84,9833,109.1664577,0.548717949,0.813986047,16600,0.193333328,0.735294117647059
"Brookline College-Tempe",404055,23383,22975,25129,0.5152,9500,105.469475,0.229979879,0.621636798,22300,0.321246445,0.847457627118644
"Brookstone College-Charlotte",198075,23944,23957,22763,0.7059,8688.5,96.46016143,0.378676471,0.317073171,28000,0.3898305,0.857142857142857
"Butler Beauty Academy",211334,16440,16053,14555,0.9259,9500,105.469475,0.430232558,0.662,14300,0.170731708,0.586206896551724
"California Hair Design Academy",111054,15449,15329,14934,0.8929,7500,83.265375,0.619047619,0.751262312,16500,0.313131303,0.873015873015873
"Camelot College",417549,17412,17350,17890,0.517,9500,105.469475,0.122077922,0.289792965,14500,0.10952381,0.943181818181818
"Cameo Beauty Academy",143464,15952,15411,16139,0.6667,11600,128.78378,0.373333333,0.610611504,18300,0.384615391,0.769230769230769
"Cameron College",158440,9349,9443,8853,0.6136,3881,43.08705605,0.163043478,0.78334,25200,0.40697673,0.91304347826087
"Cannella School of Hair Design-Blue Island",401481,5333,5327,5359,0.7778,3500,38.857175,0.291139241,0.5111,13800,0.192771077,0.8
"Cannella School of Hair Design-Chicago",143482,6961,6475,11820,0.8,3500,38.857175,0.394366197,0.6607,14300,0.159420297,0.909090909090909
"Cannella School of Hair Design-Chicago",143482,6961,6475,11820,0.8,3500,38.857175,0.394366197,0.6607,14300,0.159420297,0.833333333333333
"Cannella School of Hair Design-Chicago",143482,6961,6475,11820,0.8,3500,38.857175,0.394366197,0.6607,14300,0.159420297,0.777777777777778
"Capitol School of Hairstyling and Esthetics",365693,10775,9344,12904,0.8462,6962.5,77.29802313,0.886227545,0.884342857,22200,0.37931034,0.528089887640449
"Capri College-Cedar Rapids",153083,13917,12600,11640,0.9375,10178,112.9966649,0.720720721,0.647023529,21000,0.321243525,0.521739130434783
"Capri College-Davenport",154448,12488,10765,11259,0.8824,8855,98.30865275,0.665178571,0.736871429,20700,0.300000012,0.382352941176471
"Capri College-Dubuque",153074,14983,12764,14281,0.8,10021,111.2536431,0.769230769,0.786241985,18300,0.231999993,0.461538461538462
"Capri Institute of Hair Design-Kenilworth",407407,21731,21838,19382,0.8421,7722,85.7300301,0.647887324,0.732564535,22300,0.434782594,0.956521739130435
"Capri Institute of Hair Design-Paramus",407425,17218,16399,15174,0.913,6333,70.30928265,0.733990148,0.675253846,26000,0.453125,0.5
"Capri School of Hair Design",189714,15913,14620,16946,0.5,6333,70.30928265,0.673333333,0.758489116,28300,0.355263144,0.568181818181818
"Capstone College",377759,11064,10960,11893,0.75,6528,72.4741824,0.418604651,0.74245,28500,0.403614461,0.863636363636364
"Career Academy of Beauty",111513,11184,10690,10112,0.9524,6333,70.30928265,0.570175439,0.739517647,18400,0.338383824,0.695652173913043
"Career Networks Institute",433013,26383,26075,25741,0.8462,11250,124.8980625,0.606369427,0.721687443,23200,0.566091955,0.775
"Career Point College",246008,25378,25469,23860,0.6496,13254,147.1465707,0.269290847,0.756343655,19400,0.299442887,0.943548387096774
"Career Point College",246008,25378,25469,23860,0.6496,13254,147.1465707,0.269290847,0.756343655,19400,0.299442887,0.884130982367758
"Career Technical Institute",420370,19734,19411,20648,0.6327,7719,85.69672395,0.16838488,0.638676604,30100,0.468634695,0.909090909090909
"Career Training Academy-Monroeville",408312,11212,10690,14382,0.6522,9500,105.469475,0.672297297,0.818188636,23400,0.297397763,0.823529411764706
"Career Training Academy-Pittsburgh",440174,12154,11727,12794,0.7692,9500,105.469475,0.672297297,0.872314894,23400,0.297397763,0.6
